"lat","lon","FIPS"
32.232844,-110.959467,"04019"
33.50591,-86.799772,"01073"
33.423954,-111.940687,"04013"
37.775975,-122.392972,"06075"
31.340705,-110.960789,"04023"
34.759836,-92.340415,"05119"
32.596322,-114.712699,"04027"
60.94,-164.62,"02050"
33.589113,-111.79394,"04013"
33.452982,-112.066306,"04013"
35.192568,-111.656765,"04005"
30.688966,-88.189832,"01097"
36.069922,-94.176965,"05143"
33.478892,-112.040426,"04013"
33.215665,-87.53919,"01125"
34.749005,-92.320097,"05119"
33.693798,-111.999557,"04013"
32.602139,-85.508496,"01081"
36.042291,-94.16811,"05143"
35.849336,-90.679349,"05031"
34.743407,-92.291552,"05119"
32.428345,-85.709321,"01087"
33.473853,-111.946795,"04013"
64.857437,-147.800301,"02090"
33.503994,-112.018614,"04013"
33.515462,-86.821045,"01073"
33.59544,-111.895786,"04013"
33.357822,-111.926185,"04013"
33.226799,-87.531521,"01125"
33.446751,-86.798955,"01073"
33.336506,-111.938809,"04013"
31.940621,-110.907512,"04019"
34.72523,-86.691036,"01089"
61.182148,-149.795959,"02020"
61.183064,-149.806384,"02020"
33.663405,-112.183604,"04013"
33.377779,-111.914695,"04013"
33.511775,-86.812587,"01073"
34.740024,-92.396998,"05119"
40.043567,-105.293313,"08013"
33.472611,-112.074768,"04013"
32.214149,-110.954751,"04019"
32.393673,-111.001394,"04019"
33.441958,-86.669071,"01117"
32.073081,-110.69792,"04019"
32.587008,-85.493201,"01081"
34.7573,-86.678606,"01089"
33.3429,-111.894721,"04013"
34.731783,-92.41679,"05119"
36.326278,-109.268065,"04001"
33.503687,-86.79741,"01073"
30.692961,-88.194383,"01097"
32.365014,-86.295702,"01101"
33.439559,-86.681294,"01117"
33.518079,-112.010329,"04013"
33.433422,-112.087594,"04013"
36.042985,-94.167916,"05143"
34.751922,-92.345672,"05119"
33.25312,-111.616347,"04013"
34.124645,-93.051344,"05019"
33.120981,-87.566774,"01125"
32.212468,-110.947196,"04019"
36.042285,-94.168103,"05143"
32.311097,-110.946023,"04019"
61.190646,-149.818129,"02020"
33.496961,-112.066778,"04013"
33.837596,-109.968235,"04017"
32.212822,-110.946372,"04019"
32.294565,-110.848018,"04019"
34.720045,-86.644056,"01089"
57.053115,-135.344477,"02220"
32.42501,-110.977859,"04019"
37.767442,-122.413937,"06075"
41.310925,-72.926428,"09170"
34.017282,-118.281254,"06037"
41.260026,-96.065008,"31055"
34.431306,-119.834277,"06083"
39.745098,-104.837605,"08001"
37.870017,-122.268624,"06001"
37.597459,-122.385206,"06081"
38.891282,-104.800059,"08041"
32.876991,-117.24087,"06073"
40.57951,-105.081267,"08069"
33.64852,-117.82136,"06059"
34.070199,-118.45102,"06037"
34.127716,-117.972442,"06037"
38.898075,-77.043933,"11001"
38.927274,-77.014396,"11001"
37.426852,-122.17047,"06085"
38.543366,-121.72946,"06113"
32.762178,-117.069156,"06073"
33.972585,-117.350361,"06065"
37.925126,-122.296134,"06013"
34.134332,-118.12652,"06037"
34.033932,-118.489495,"06037"
34.076544,-118.380004,"06037"
38.905206,-77.07547,"11001"
37.767618,-122.394315,"06075"
32.903062,-117.243592,"06073"
38.135302,-122.574863,"06041"
37.750005,-122.409528,"06075"
34.060406,-118.281668,"06037"
41.734182,-72.793791,"09110"
41.811419,-72.247553,"09110"
32.90509,-117.229789,"06073"
37.805769,-122.265214,"06001"
37.868252,-122.258486,"06001"
39.714507,-75.738715,"10003"
32.838775,-117.253243,"06073"
41.306343,-72.933293,"09170"
32.9036,-117.24298,"06073"
34.009659,-118.490943,"06037"
37.412894,-122.049891,"06085"
32.887209,-117.181283,"06073"
