New119Fips,NAMELSAD,lat,lon
406,Congressional District 6,32.294564999999999,-110.848018
105,Congressional District 5,34.720044999999999,-86.644056
200,Congressional District (at Large),57.053114999999998,-135.344477
406,Congressional District 6,32.425010000000000,-110.977859
611,Congressional District 11,37.767442000000003,-122.413937
903,Congressional District 3,41.310924999999997,-72.926428
637,Congressional District 37,34.017282000000002,-118.281254
3102,Congressional District 2,41.260026000000003,-96.065008
624,Congressional District 24,34.431305999999999,-119.834277
806,Congressional District 6,39.745097999999999,-104.837605
612,Congressional District 12,37.870016999999997,-122.268624
615,Congressional District 15,37.597459000000001,-122.385206
805,Congressional District 5,38.891281999999997,-104.800059
650,Congressional District 50,32.876990999999997,-117.24087
802,Congressional District 2,40.579509999999999,-105.081267
647,Congressional District 47,33.648519999999998,-117.82136
636,Congressional District 36,34.070199000000002,-118.45102
631,Congressional District 31,34.127715999999999,-117.972442
1198,Delegate District (at Large),38.898074999999999,-77.043933
1198,Delegate District (at Large),38.927273999999997,-77.014396
616,Congressional District 16,37.426851999999997,-122.17047
604,Congressional District 4,38.543365999999999,-121.72946
651,Congressional District 51,32.762177999999999,-117.069156
639,Congressional District 39,33.972585000000002,-117.350361
608,Congressional District 8,37.925125999999999,-122.296134
628,Congressional District 28,34.134332000000001,-118.12652
636,Congressional District 36,34.033932000000000,-118.489495
630,Congressional District 30,34.076543999999998,-118.380004
1198,Delegate District (at Large),38.905206000000000,-77.07547
611,Congressional District 11,37.767617999999999,-122.394315
650,Congressional District 50,32.903061999999998,-117.243592
602,Congressional District 2,38.135302000000003,-122.574863
611,Congressional District 11,37.750005000000002,-122.409528
634,Congressional District 34,34.060406000000000,-118.281668
905,Congressional District 5,41.734181999999997,-72.793791
902,Congressional District 2,41.811419000000001,-72.247553
650,Congressional District 50,32.905090000000001,-117.229789
612,Congressional District 12,37.805768999999998,-122.265214
612,Congressional District 12,37.868251999999998,-122.258486
1000,Congressional District (at Large),39.714506999999998,-75.738715
650,Congressional District 50,32.838774999999998,-117.253243
903,Congressional District 3,41.306342999999998,-72.933293
650,Congressional District 50,32.903599999999997,-117.24298
636,Congressional District 36,34.009658999999999,-118.490943
616,Congressional District 16,37.412894000000001,-122.049891
651,Congressional District 51,32.887208999999999,-117.181283
643,Congressional District 43,33.923952000000000,-118.245687
619,Congressional District 19,36.977559999999997,-122.055836
801,Congressional District 1,39.739206000000003,-104.941874
651,Congressional District 51,32.894055000000002,-117.202589
616,Congressional District 16,37.457186999999998,-122.175213
628,Congressional District 28,34.092478999999997,-117.722006
624,Congressional District 24,34.432130000000001,-119.811764
802,Congressional District 2,40.139940000000003,-105.257497
650,Congressional District 50,33.025787000000001,-117.21755
651,Congressional District 51,32.887458000000002,-117.182927
650,Congressional District 50,32.886299999999999,-117.243929
611,Congressional District 11,37.791184999999999,-122.43391
1000,Congressional District (at Large),39.168689999999998,-75.545247
802,Congressional District 2,40.013295999999997,-105.251932
801,Congressional District 1,39.727302000000002,-104.991569
650,Congressional District 50,33.019647999999997,-117.197359
1198,Delegate District (at Large),38.909829999999999,-77.036184
611,Congressional District 11,37.720910000000003,-122.476074
608,Congressional District 8,37.929887000000001,-122.305288
1198,Delegate District (at Large),38.902811000000000,-77.020782
4709,Congressional District 9,35.143199000000003,-90.050426
630,Congressional District 30,34.072513999999998,-118.371028
615,Congressional District 15,37.600555000000000,-122.37358
616,Congressional District 16,37.386268000000001,-122.051359
903,Congressional District 3,41.557395000000000,-72.655179
613,Congressional District 13,37.351306000000001,-120.4324
631,Congressional District 31,34.029482000000002,-118.023269
1198,Delegate District (at Large),38.905386000000000,-77.030988
1000,Congressional District (at Large),39.679205000000003,-75.73119
615,Congressional District 15,37.654525999999997,-122.399747
630,Congressional District 30,34.098064999999998,-118.29069
645,Congressional District 45,33.878100000000003,-117.884245
615,Congressional District 15,37.603955999999997,-122.394094
612,Congressional District 12,37.803784999999998,-122.275259
651,Congressional District 51,32.903089999999999,-117.180921
650,Congressional District 50,32.857275999999999,-117.226237
616,Congressional District 16,37.400877000000001,-122.138324
903,Congressional District 3,41.291634999999999,-72.689631
607,Congressional District 7,38.553852999999997,-121.421265
1709,Congressional District 9,42.027222000000002,-87.678067
640,Congressional District 40,33.860472999999999,-117.795983
650,Congressional District 50,32.887742000000003,-117.223797
641,Congressional District 41,33.838147999999997,-117.600411
650,Congressional District 50,32.870705000000001,-117.225305
650,Congressional District 50,32.857199999999999,-117.189598
612,Congressional District 12,37.803420000000003,-122.269799
651,Congressional District 51,32.885477999999999,-117.170654
647,Congressional District 47,33.700941999999998,-117.756405
626,Congressional District 26,34.153753000000002,-118.763422
1198,Delegate District (at Large),38.905783999999997,-76.994932
616,Congressional District 16,37.435907000000000,-122.191259
904,Congressional District 4,41.164233000000003,-73.255844
650,Congressional District 50,32.856071000000000,-117.227467
1198,Delegate District (at Large),38.912889999999997,-77.039938
611,Congressional District 11,37.781537999999998,-122.504847
650,Congressional District 50,32.850780000000000,-117.250436
645,Congressional District 45,33.866635000000002,-118.048458
612,Congressional District 12,37.871397999999999,-122.268005
1000,Congressional District (at Large),39.189379000000002,-75.541169
634,Congressional District 34,34.127504999999999,-118.212852
620,Congressional District 20,36.815106000000000,-119.745116
644,Congressional District 44,33.831471000000001,-118.295432
635,Congressional District 35,34.049754000000000,-117.815697
604,Congressional District 4,38.542974000000001,-121.744084
615,Congressional District 15,37.594963999999997,-122.363634
1000,Congressional District (at Large),39.778191000000000,-75.557506
801,Congressional District 1,39.676639000000002,-104.959481
634,Congressional District 34,34.062539000000001,-118.169044
618,Congressional District 18,37.340938000000001,-121.889413
623,Congressional District 23,34.051743999999999,-117.261784
626,Congressional District 26,34.218203000000003,-118.887869
3610,Congressional District 10,40.725875000000002,-74.005946
624,Congressional District 24,34.425306999999997,-119.708189
616,Congressional District 16,37.439933000000003,-122.151692
628,Congressional District 28,34.147786000000004,-118.13699
901,Congressional District 1,41.564515999999998,-72.652628
616,Congressional District 16,37.451959000000002,-122.272579
614,Congressional District 14,37.633710000000001,-122.119975
801,Congressional District 1,39.731960000000001,-104.936299
611,Congressional District 11,37.779353999999998,-122.393234
1198,Delegate District (at Large),38.923138000000002,-77.021576
624,Congressional District 24,34.425781999999998,-119.685018
651,Congressional District 51,32.901318000000003,-117.200493
632,Congressional District 32,34.245874999999998,-118.501885
650,Congressional District 50,32.943886999999997,-117.228968
615,Congressional District 15,37.480303999999997,-122.184499
651,Congressional District 51,32.778489999999998,-117.11914
608,Congressional District 8,37.929152000000002,-122.315051
617,Congressional District 17,37.413693000000002,-121.960166
612,Congressional District 12,37.868679000000000,-122.255874
612,Congressional District 12,37.845450999999997,-122.28766
614,Congressional District 14,37.626125000000002,-122.121042
611,Congressional District 11,37.765042999999999,-122.394529
612,Congressional District 12,37.888376000000001,-122.294864
903,Congressional District 3,41.304639999999999,-72.931023
631,Congressional District 31,34.138587000000001,-117.991131
1000,Congressional District (at Large),38.765180000000001,-75.211745
624,Congressional District 24,34.433903000000001,-119.629863
903,Congressional District 3,41.306254000000003,-72.932343
616,Congressional District 16,37.373108000000002,-122.210939
650,Congressional District 50,32.930495000000001,-117.241947
616,Congressional District 16,37.434072999999998,-122.112547
616,Congressional District 16,37.436934000000001,-122.193602
616,Congressional District 16,37.414588999999999,-122.099296
802,Congressional District 2,40.530372000000000,-104.98376
651,Congressional District 51,32.904435999999997,-117.218137
650,Congressional District 50,32.913223000000002,-117.231033
651,Congressional District 51,32.848095000000001,-117.212445
616,Congressional District 16,37.438425000000002,-122.254651
650,Congressional District 50,32.943753999999998,-117.192989
903,Congressional District 3,41.234653999999999,-73.078341
651,Congressional District 51,32.904210999999997,-117.19742
649,Congressional District 49,32.989626999999999,-117.262471
632,Congressional District 32,34.198329999999999,-118.62174
611,Congressional District 11,37.779561000000001,-122.39304
801,Congressional District 1,39.735847000000000,-104.953653
615,Congressional District 15,37.495674000000001,-122.27894
649,Congressional District 49,33.048676000000000,-117.250594
611,Congressional District 11,37.725307999999998,-122.464024
802,Congressional District 2,40.071761000000002,-105.187817
624,Congressional District 24,34.461139000000003,-119.739863
802,Congressional District 2,40.027276000000001,-105.27997
650,Congressional District 50,32.919649999999997,-117.232045
615,Congressional District 15,37.513306999999998,-122.311055
631,Congressional District 31,34.141210999999998,-117.991999
806,Congressional District 6,39.747863000000002,-104.840743
650,Congressional District 50,32.942197000000000,-117.246611
626,Congressional District 26,34.216258000000003,-119.145364
611,Congressional District 11,37.774794999999997,-122.414833
611,Congressional District 11,37.801147000000000,-122.456668
650,Congressional District 50,32.913226999999999,-117.231045
640,Congressional District 40,33.803182999999997,-117.836786
648,Congressional District 48,32.959186000000003,-116.971701
611,Congressional District 11,37.771053000000002,-122.440989
632,Congressional District 32,34.100470000000001,-118.41571
647,Congressional District 47,33.688392000000000,-117.858255
630,Congressional District 30,34.204228000000001,-118.223857
807,Congressional District 7,39.952480000000001,-105.046508
650,Congressional District 50,33.012946999999997,-117.094115
649,Congressional District 49,32.982869999999998,-117.250914
640,Congressional District 40,33.654997999999999,-117.702775
616,Congressional District 16,37.420136999999997,-122.12582
