"","GEOID","h_county","commuters"
"215",24033800504,10005,3
"216",24033801003,10005,8
"217",24035810800,10005,9
"218",24510060400,10005,8
"219",24510120700,10005,5
"220",24510260501,10005,9
"221",24510260605,10005,37
"222",51013101408,10005,2
"223",11001000904,11001,769
"224",11001010100,11001,14966
"225",24003701104,11001,25
"226",24003702402,11001,184
"227",24003730401,11001,3
"228",24003740205,11001,2
"229",24003740304,11001,38
"230",24003741000,11001,18
"231",24005408704,11001,18
"232",24005440600,11001,73
"233",24013507602,11001,28
"234",24013513001,11001,13
"235",24017851502,11001,4
"236",24021750701,11001,17
"237",24021752206,11001,5
"238",24025301707,11001,13
"239",24027605105,11001,180
"240",24027605404,11001,121
"241",24027605602,11001,36
"242",24027606601,11001,1
"243",24027606701,11001,25
"244",24027606706,11001,23
"245",24031700313,11001,78
"246",24031701002,11001,66
"247",24031701007,11001,334
"248",24031701205,11001,892
"249",24031702503,11001,773
"250",24031704600,11001,98
"251",24031704804,11001,2006
"252",24031705602,11001,154
"253",24033800212,11001,156
"254",24033800504,11001,65
"255",24033801003,11001,68
"256",24035810800,11001,6
"257",24043011202,11001,7
"258",24510060400,11001,41
"259",24510100100,11001,2
"260",24510120700,11001,20
"261",24510260501,11001,39
"262",24510260605,11001,72
"263",51013101408,11001,206
"264",51059470600,11001,77
"265",24003702402,12003,1
"266",24003741000,12005,1
"267",24031701205,12005,2
"268",24031704804,12005,1
"269",24003702402,12007,1
"270",24510060400,12009,1
"271",11001010100,12011,16
"272",24003702402,12011,1
"273",24003741000,12011,1
"274",24031704600,12011,1
"275",24033801003,12015,1
"276",24510060400,12015,1
"277",11001010100,12019,2
"278",51013101408,12019,1
"279",11001000904,12021,1
"280",24031701205,12023,1
"281",11001010100,12031,21
"282",11001010100,12033,3
"283",24003702402,12033,1
"284",11001010100,12039,1
"285",24003701104,12057,1
"286",24005440600,12057,3
"287",24031701007,12057,1
"288",24031702503,12057,1
"289",51013101408,12057,1
"290",24031701205,12059,2
"291",24033801003,12071,5
"292",24510060400,12071,3
"293",11001010100,12073,5
"294",24021750701,12073,1
"295",24031701205,12075,1
"296",11001010100,12079,1
"297",24003702402,12081,5
"298",24031701205,12081,4
"299",24027605105,12083,1
"300",24027606701,12085,2
"301",24027606706,12085,1
"302",11001010100,12086,1
"303",24013507602,12086,4
"304",24021752206,12086,1
"305",24027605602,12086,1
"306",24031701007,12086,1
"307",24031701205,12086,4
"308",24031702503,12086,1
"309",24031704804,12086,2
"310",11001010100,12089,1
"311",24031701205,12091,3
"312",24031704804,12091,1
"313",11001010100,12095,15
"314",24003702402,12095,4
"315",24005440600,12095,2
"316",24013507602,12095,2
"317",24031701205,12095,11
"318",24033800212,12095,1
"319",24033801003,12095,2
"320",24027605105,12097,1
"321",24031701205,12097,9
"322",11001010100,12099,15
"323",24003702402,12099,3
"324",24031700313,12099,1
"325",24031701205,12099,1
"326",11001010100,12103,2
"327",24003702402,12103,3
"328",24031701205,12103,2
"329",24031704804,12103,1
"330",24027606706,12105,1
"331",24031702503,12107,1
"332",51013101408,12109,1
"333",11001010100,12113,2
"334",24003702402,12113,2
"335",24003702402,12115,1
"336",24031701205,12121,1
"337",11001010100,12129,1
"338",24031701205,12131,1
"339",24031704804,12131,1
"340",24031704804,13011,1
"341",11001010100,13021,2
"342",24027605105,13027,1
"343",11001010100,13039,1
"344",11001010100,13045,2
"345",24003701104,13047,2
"346",11001010100,13051,9
