"","GEOID","h_county","commuters"
"215",6037216302,6001,61
"216",6037224010,6001,11
"217",6037224020,6001,36
"218",6037264305,6001,4
"219",6037265204,6001,19
"220",6037265301,6001,42
"221",6037267300,6001,3
"222",6037267700,6001,27
"223",6037267901,6001,366
"224",6037269000,6001,5
"225",6037275313,6001,25
"226",6037311601,6001,90
"227",6037311602,6001,13
"228",6037463900,6001,143
"229",6037464000,6001,6
"230",6037481606,6001,11
"231",6037620303,6001,2
"232",6037620400,6001,58
"233",6037650606,6001,14
"234",6037651101,6001,70
"235",6037670417,6001,13
"236",6037700802,6001,6
"237",6037701000,6001,46
"238",6037701501,6001,12
"239",6037701601,6001,1
"240",6037701602,6001,18
"241",6037701701,6001,22
"242",6037701802,6001,13
"243",6037702300,6001,54
"244",6037702900,6001,28
"245",6037703003,6001,517
"246",6037800324,6001,51
"247",6037800337,6001,88
"248",6037800504,6001,6
"249",6037920328,6001,25
"250",6037980013,6001,601
"251",6059052513,6001,1
"252",6059062647,6001,1
"253",6079011505,6001,69
"254",6079012505,6001,11
"255",6083000302,6001,5
"256",6083000400,6001,11
"257",6083001404,6001,6
"258",6083002211,6001,8
"259",6083003001,6001,49
"260",6111005906,6001,18
"261",6111005907,6001,9
"262",6111006600,6001,1
"263",6111007000,6001,11
"264",6111008502,6001,5
"265",6037216302,6003,1
"266",6037120300,6005,1
"267",6037207711,6005,3
"268",6037224020,6005,1
"269",6037267700,6005,2
"270",6037311601,6005,4
"271",6037620303,6005,1
"272",6037700801,6005,1
"273",6037800324,6005,1
"274",6037800337,6005,2
"275",6079011505,6005,3
"276",6079012505,6005,3
"277",6083003001,6005,3
"278",6111001510,6005,1
"279",6111007000,6005,1
"280",6037207711,6007,16
"281",6037214000,6007,1
"282",6037216302,6007,1
"283",6037224020,6007,1
"284",6037267700,6007,1
"285",6037267901,6007,4
"286",6037311601,6007,4
"287",6037650606,6007,1
"288",6037701602,6007,1
"289",6037703003,6007,65
"290",6037800337,6007,2
"291",6037800504,6007,2
"292",6037980013,6007,3
"293",6059099232,6007,1
"294",6079011505,6007,8
"295",6083000400,6007,2
"296",6083002211,6007,3
"297",6083003001,6007,8
"298",6111001510,6007,5
"299",6111005906,6007,3
"300",6037135116,6009,1
"301",6037191810,6009,1
"302",6037207711,6009,4
"303",6037216302,6009,1
"304",6037224010,6009,2
"305",6037224020,6009,1
"306",6037267700,6009,1
"307",6037311601,6009,1
"308",6037311602,6009,1
"309",6037463900,6009,2
"310",6037700801,6009,2
"311",6037800324,6009,1
"312",6037980013,6009,6
"313",6079011505,6009,2
"314",6083000302,6009,1
"315",6083003001,6009,3
"316",6111001510,6009,2
"317",6111007000,6009,2
"318",6111008502,6009,1
"319",6037207711,6011,1
"320",6037224020,6011,1
"321",6037703003,6011,5
"322",6037108204,6013,1
"323",6037120300,6013,5
"324",6037135116,6013,14
"325",6037141400,6013,13
"326",6037143200,6013,1
"327",6037191810,6013,3
"328",6037207305,6013,3
"329",6037207711,6013,347
"330",6037216302,6013,38
"331",6037224010,6013,3
"332",6037224020,6013,20
"333",6037265204,6013,25
"334",6037265301,6013,19
"335",6037265307,6013,2
"336",6037267300,6013,3
"337",6037267700,6013,39
"338",6037267901,6013,342
"339",6037311601,6013,76
"340",6037311602,6013,5
"341",6037463900,6013,17
"342",6037464000,6013,2
"343",6037481606,6013,4
"344",6037620400,6013,34
"345",6037620802,6013,3
"346",6037650606,6013,8
"347",6037651101,6013,89
"348",6037670417,6013,11
"349",6037700801,6013,101
"350",6037700802,6013,41
"351",6037701000,6013,25
"352",6037701501,6013,1
"353",6037701502,6013,1
"354",6037701601,6013,5
"355",6037701602,6013,18
"356",6037701802,6013,6
"357",6037702300,6013,86
"358",6037702802,6013,3
"359",6037702900,6013,6
"360",6037800324,6013,17
"361",6037800325,6013,2
"362",6037800337,6013,19
"363",6037800504,6013,3
"364",6037920328,6013,7
"365",6037920330,6013,1
"366",6037980013,6013,266
"367",6059062647,6013,19
"368",6059099232,6013,1
"369",6079011505,6013,49
"370",6079012505,6013,10
"371",6083000400,6013,3
"372",6083001404,6013,6
"373",6083002211,6013,7
"374",6083003001,6013,32
"375",6111001510,6013,1
"376",6111005906,6013,17
"377",6111005907,6013,8
"378",6111006600,6013,1
"379",6111007000,6013,16
"380",6111008501,6013,1
"381",6111008502,6013,6
"382",6037267901,6015,4
"383",6037670417,6015,1
"384",6037703003,6015,6
"385",6079011505,6015,1
"386",6037141400,6017,3
"387",6037191810,6017,2
"388",6037207305,6017,5
"389",6037207711,6017,29
"390",6037264305,6017,1
"391",6037265204,6017,2
"392",6037265301,6017,3
"393",6037267700,6017,2
"394",6037267901,6017,17
"395",6037275313,6017,2
"396",6037311601,6017,5
"397",6037650606,6017,2
"398",6037651101,6017,10
"399",6037670417,6017,4
"400",6037700801,6017,8
"401",6037700802,6017,4
"402",6037701000,6017,2
"403",6037701602,6017,3
"404",6037701701,6017,1
"405",6037702300,6017,9
"406",6037702900,6017,3
"407",6037980013,6017,33
"408",6079011505,6017,10
"409",6083000302,6017,9
"410",6083001404,6017,4
"411",6083002211,6017,2
"412",6083003001,6017,8
"413",6111005906,6017,2
"414",6111008502,6017,2
"415",6037108204,6019,14
"416",6037119202,6019,1
"417",6037120300,6019,20
"418",6037135116,6019,49
"419",6037141400,6019,9
"420",6037191810,6019,2
"421",6037207305,6019,11
"422",6037214000,6019,3
"423",6037216302,6019,14
"424",6037224010,6019,6
"425",6037224020,6019,16
"426",6037264305,6019,1
"427",6037265204,6019,9
"428",6037265301,6019,16
"429",6037265307,6019,4
"430",6037267700,6019,26
"431",6037267901,6019,58
"432",6037269000,6019,6
"433",6037271600,6019,1
"434",6037311601,6019,26
"435",6037311602,6019,4
"436",6037464000,6019,10
"437",6037620400,6019,21
"438",6037650606,6019,8
"439",6037651101,6019,35
"440",6037670417,6019,7
"441",6037700801,6019,66
"442",6037700802,6019,15
"443",6037701000,6019,8
"444",6037701501,6019,1
"445",6037701502,6019,6
"446",6037701601,6019,2
"447",6037701602,6019,5
"448",6037701701,6019,7
"449",6037701802,6019,3
"450",6037702300,6019,18
"451",6037702802,6019,3
"452",6037702900,6019,18
"453",6037703003,6019,316
"454",6037800324,6019,22
"455",6037800325,6019,10
"456",6037800337,6019,15
"457",6037800504,6019,3
"458",6037920328,6019,21
"459",6037920330,6019,10
"460",6037980013,6019,101
"461",6059062647,6019,3
"462",6059099232,6019,6
"463",6079011505,6019,67
"464",6079012505,6019,27
"465",6083000302,6019,14
"466",6083000400,6019,14
"467",6083001404,6019,7
"468",6083002211,6019,5
"469",6083003001,6019,66
"470",6111001510,6019,10
"471",6111005906,6019,14
"472",6111005907,6019,18
"473",6111006600,6019,2
"474",6111007000,6019,13
"475",6111008501,6019,5
"476",6111008502,6019,17
"477",6037207711,6021,3
"478",6037224020,6021,1
"479",6037701602,6021,1
"480",6037703003,6021,13
"481",6037800337,6021,1
"482",6037980013,6021,2
"483",6079011505,6021,3
"484",6083002211,6021,1
"485",6111001510,6021,1
"486",6111005906,6021,1
"487",6111007000,6021,1
"488",6037207305,6023,1
"489",6037265204,6023,2
"490",6037267901,6023,3
"491",6037702300,6023,1
"492",6037703003,6023,47
"493",6079011505,6023,2
"494",6037108204,6025,5
"495",6037120300,6025,4
"496",6037134422,6025,2
"497",6037135116,6025,12
"498",6037141400,6025,5
"499",6037207305,6025,6
"500",6037207711,6025,73
"501",6037212303,6025,2
"502",6037214000,6025,10
"503",6037216302,6025,11
"504",6037224010,6025,1
"505",6037224020,6025,6
"506",6037265204,6025,10
"507",6037265301,6025,1
"508",6037265307,6025,3
"509",6037267300,6025,1
"510",6037267700,6025,7
"511",6037267901,6025,35
"512",6037271600,6025,2
"513",6037275313,6025,3
"514",6037311601,6025,18
"515",6037311602,6025,1
"516",6037431701,6025,5
"517",6037461700,6025,2
"518",6037463900,6025,3
"519",6037464000,6025,4
"520",6037481606,6025,3
"521",6037620303,6025,7
"522",6037620400,6025,15
"523",6037620802,6025,1
"524",6037621201,6025,3
"525",6037650606,6025,5
"526",6037651101,6025,41
"527",6037670417,6025,6
"528",6037700801,6025,29
"529",6037700802,6025,4
"530",6037701000,6025,5
"531",6037701502,6025,6
"532",6037701601,6025,5
"533",6037701602,6025,3
"534",6037701701,6025,7
"535",6037701802,6025,3
"536",6037702300,6025,8
"537",6037702802,6025,3
"538",6037702900,6025,7
"539",6037703003,6025,51
"540",6037800324,6025,6
"541",6037800325,6025,1
"542",6037800337,6025,5
"543",6037800504,6025,3
"544",6037920328,6025,6
"545",6037920330,6025,1
"546",6037980013,6025,51
"547",6059052513,6025,2
"548",6059062647,6025,5
"549",6079011505,6025,8
"550",6083000302,6025,3
"551",6111001510,6025,2
"552",6111005906,6025,4
"553",6111005907,6025,2
"554",6111006600,6025,2
"555",6111007000,6025,5
"556",6111008501,6025,1
"557",6111008502,6025,3
"558",6037207305,6027,2
"559",6037207711,6027,1
"560",6037311601,6027,1
"561",6037651101,6027,2
"562",6037701602,6027,1
"563",6037980013,6027,1
"564",6079011505,6027,6
"565",6079012505,6027,4
"566",6083003001,6027,1
"567",6037108204,6029,38
"568",6037119202,6029,1
"569",6037120300,6029,34
"570",6037134422,6029,6
"571",6037135116,6029,90
"572",6037141400,6029,12
"573",6037143200,6029,1
"574",6037191810,6029,3
"575",6037207305,6029,32
"576",6037207711,6029,164
"577",6037212303,6029,4
"578",6037214000,6029,15
"579",6037216302,6029,12
"580",6037224010,6029,96
"581",6037224020,6029,32
"582",6037264305,6029,2
"583",6037265204,6029,29
"584",6037265301,6029,28
"585",6037265307,6029,1
"586",6037267300,6029,7
"587",6037267700,6029,142
"588",6037267901,6029,213
"589",6037269000,6029,4
"590",6037271600,6029,3
"591",6037275313,6029,14
"592",6037311601,6029,65
"593",6037311602,6029,13
"594",6037431701,6029,5
"595",6037461700,6029,3
"596",6037463900,6029,21
"597",6037464000,6029,15
"598",6037481606,6029,4
"599",6037620400,6029,42
"600",6037620802,6029,6
"601",6037621201,6029,9
"602",6037650606,6029,18
"603",6037651101,6029,144
"604",6037670417,6029,16
"605",6037700801,6029,87
"606",6037700802,6029,18
"607",6037701000,6029,37
"608",6037701501,6029,10
"609",6037701502,6029,16
"610",6037701601,6029,14
"611",6037701602,6029,30
"612",6037701701,6029,19
"613",6037701802,6029,11
"614",6037702300,6029,21
"615",6037702802,6029,7
"616",6037702900,6029,27
"617",6037703003,6029,303
"618",6037800324,6029,43
"619",6037800337,6029,44
"620",6037800504,6029,20
"621",6037920328,6029,89
