"HomeCounty","AllCommutes","sum(CNS01)","sum(CNS02)","sum(CNS03)","sum(CNS04)","sum(CNS05)","sum(CNS06)","sum(CNS07)","sum(CNS08)","sum(CNS09)","sum(CNS10)","sum(CNS11)","sum(CNS12)","sum(CNS13)","sum(CNS14)","sum(CNS15)","sum(CNS16)","sum(CNS17)","sum(CNS18)","sum(CNS19)","sum(CNS20)"
20107,3615,34,55,84,274,323,155,448,123,50,129,43,92,21,115,554,437,26,187,96,369
20109,1356,70,16,10,39,45,130,193,25,24,51,3,30,5,14,101,171,13,121,60,235
20111,16797,124,83,209,671,2952,628,1874,536,327,376,186,445,62,946,2224,2286,233,1467,330,838
20113,13970,86,87,135,722,3037,444,1253,283,163,380,122,391,201,475,1728,2301,167,883,343,769
20115,5794,110,30,32,277,1012,233,563,106,56,168,44,152,37,161,939,879,37,337,139,482
20117,4868,82,10,100,212,986,228,550,128,93,205,36,171,13,151,491,587,62,299,113,351
20119,1618,126,26,22,85,68,92,164,77,23,51,5,40,2,27,275,281,5,85,28,136
20121,17298,79,67,177,1245,1412,779,1815,768,308,945,231,1034,365,884,1803,2646,187,1075,448,1030
20123,2963,52,6,25,128,283,226,335,82,59,110,12,72,15,65,413,539,35,199,76,231
20125,13182,130,133,76,534,2533,470,1373,318,136,321,87,331,68,553,1556,2429,150,932,224,828
20127,2408,64,14,15,144,263,104,257,57,58,103,29,98,12,73,301,335,27,202,42,210
20129,1135,88,40,19,45,44,80,144,20,28,36,4,10,8,15,175,176,11,66,26,100
20131,5493,141,7,48,232,1044,242,557,219,71,245,26,184,19,172,493,985,79,287,126,316
20133,7018,40,160,43,201,1384,268,739,198,62,184,45,153,35,122,960,1244,27,480,150,523
20135,1217,22,126,7,45,45,104,109,50,12,49,5,30,4,16,167,225,7,54,41,99
20137,2433,89,17,88,100,250,77,237,63,47,94,5,58,62,40,204,416,17,165,49,355
20139,8309,51,64,120,480,639,357,1077,353,148,358,63,300,82,388,1060,1276,71,465,197,760
20141,1656,29,26,5,67,124,142,227,71,19,57,3,58,13,28,217,268,12,68,38,184
20143,2863,41,5,11,124,454,138,294,68,33,97,23,104,32,66,383,503,20,155,90,222
20145,3099,137,38,14,146,124,117,270,56,17,100,26,96,16,38,348,947,36,173,63,337
20147,2588,125,29,19,74,231,95,293,114,40,114,5,71,19,62,331,370,7,177,67,345
20149,11078,118,34,135,849,1225,425,1273,198,193,436,129,392,97,324,1895,1455,71,700,342,787
20151,4619,209,186,26,179,196,175,574,109,41,163,31,155,84,83,633,721,47,503,94,410
20153,1093,60,5,7,53,55,118,130,21,25,35,7,23,7,32,102,194,8,55,25,131
20155,28120,358,142,90,1296,3673,1197,3301,792,524,975,213,732,622,1564,3078,4338,505,2453,590,1677
20157,2287,70,10,35,76,247,158,277,81,32,82,7,62,6,54,263,354,17,160,68,228
20159,4252,169,109,24,202,488,167,406,117,80,146,19,171,20,188,734,495,21,285,80,331
20161,24681,198,88,94,1153,1346,812,2776,440,402,912,367,1079,127,929,5825,2843,234,2697,881,1478
20163,2277,70,93,21,93,111,212,264,63,39,100,7,65,12,60,247,368,11,153,59,229
20165,1426,26,31,1,70,157,81,134,58,39,40,7,34,5,31,186,272,9,88,25,132
20167,2961,38,136,20,126,241,180,325,71,65,92,34,85,18,51,317,429,28,265,55,385
20169,26346,147,44,71,1153,5025,1037,2944,776,335,681,205,980,423,944,2497,4383,191,2373,751,1386
20171,2277,367,14,38,107,92,151,216,57,31,102,6,69,10,51,242,357,27,169,41,130
20173,233795,642,602,650,12272,40051,8350,26650,6773,4178,6305,3186,10131,3251,16988,20779,31508,4706,21849,5958,8966
20175,11526,809,251,90,332,3319,404,1166,348,111,204,69,175,56,356,1092,1107,50,875,181,531
20177,83012,160,153,365,3987,6202,2440,7921,2264,1445,4500,812,3783,1519,5950,7457,15384,695,6553,2476,8946
20179,1177,109,7,17,62,39,95,146,30,12,54,3,32,7,15,144,208,5,56,38,98
20181,2753,84,15,21,70,75,308,346,82,63,96,19,95,15,63,281,439,20,320,87,254
20183,1610,45,12,18,57,63,150,181,66,25,58,3,45,4,30,235,288,13,97,58,162
20185,2068,148,59,10,126,124,99,182,57,10,76,9,57,11,44,360,293,10,121,46,226
20187,823,149,19,9,25,20,96,65,16,14,34,4,19,0,13,106,77,12,54,12,79
20189,2309,249,76,33,116,139,123,222,97,27,60,8,47,4,46,314,313,23,142,50,220
20191,10132,98,53,48,503,2081,355,1079,294,147,311,82,281,67,305,1235,1314,221,742,225,691
20193,3969,172,19,40,172,135,360,573,111,58,129,33,89,11,61,490,592,46,442,129,307
20195,1509,24,76,34,43,62,101,138,34,25,38,12,31,5,16,151,334,7,168,31,179
20197,3473,34,34,46,291,376,137,377,95,47,161,24,100,36,153,503,459,15,195,94,296
20199,634,65,4,7,20,17,89,70,9,2,10,9,17,2,13,101,50,4,35,9,101
20201,2915,176,8,25,144,362,179,320,61,50,126,20,66,10,51,330,442,20,182,75,268
20203,803,130,2,9,18,54,56,67,11,7,21,6,13,7,13,132,126,5,38,13,75
20205,4553,50,62,42,220,1045,135,459,128,51,124,21,111,31,104,482,840,39,260,70,279
20207,1719,20,33,21,62,225,57,211,41,21,62,12,37,29,47,269,237,14,118,35,168
20209,75151,105,50,755,3434,7502,3608,8308,4001,999,2909,1096,4328,1109,6954,5457,10414,1510,7206,1931,3475
21001,6585,20,22,33,294,1146,216,871,296,71,210,53,119,37,303,916,1007,49,498,109,315
21003,8011,44,8,56,379,1670,338,965,477,81,173,85,181,121,390,728,996,118,705,172,324
21005,10277,72,33,49,421,1852,317,1137,282,146,340,85,343,75,549,991,1126,120,767,229,1343
21007,3056,15,3,16,171,392,147,441,140,36,102,28,185,20,152,263,450,42,223,70,160
21009,18046,58,18,146,751,3904,812,2303,491,275,469,156,404,156,1226,1528,2470,293,1554,364,668
21011,4524,14,9,43,224,1109,157,491,133,44,116,31,108,52,280,455,653,17,284,84,220
21013,7952,19,243,74,202,863,170,1112,204,94,220,131,234,35,297,1033,1473,80,811,218,439
21015,63446,73,53,312,2431,7200,4240,6786,4910,872,3397,742,3429,2184,3945,4646,7329,1101,5467,1979,2350
21017,9143,570,25,28,374,1248,362,1149,259,132,273,82,349,119,511,843,1217,203,712,225,462
21019,18177,16,86,156,871,1261,533,2546,564,231,473,198,597,106,923,1719,4336,167,1924,516,954
21021,11908,43,25,94,422,2067,515,1328,282,162,326,107,429,71,699,1455,1900,142,1049,268,524
21023,2586,19,22,33,131,451,107,326,104,35,72,15,70,23,128,269,355,17,167,77,165
21025,4185,4,83,28,126,169,97,620,113,50,114,27,84,12,162,642,1104,18,313,91,328
21027,7335,33,27,44,519,1469,334,922,304,71,220,69,231,48,323,739,952,57,468,203,302
21029,40762,52,55,242,2278,6281,2169,4424,4232,524,1860,507,1618,517,2310,3071,4440,522,3149,1288,1223
21031,4983,30,45,48,289,1303,165,559,181,37,132,71,121,47,214,507,555,27,326,136,190
21033,5254,88,78,59,199,921,162,688,189,62,132,59,141,20,265,489,742,36,524,92,308
21035,14174,92,16,122,703,1910,551,1694,758,215,373,149,393,68,470,2437,1948,103,1305,352,515
21037,46264,19,21,241,2094,4207,2445,4833,2084,779,2702,686,3157,1788,2394,3715,6492,948,4449,1486,1724
21039,1976,52,4,19,130,303,80,244,81,13,77,65,80,16,82,182,269,18,139,40,82
21041,4440,11,3,54,179,977,239,535,191,39,123,30,174,33,323,350,388,136,385,88,182
21043,8263,17,80,101,482,934,182,1218,250,73,240,72,225,28,324,1184,1431,78,719,267,358
21045,5543,25,5,22,231,1470,303,600,161,40,158,28,110,44,202,585,830,29,370,83,247
21047,22337,159,85,228,657,4398,752,2753,735,190,604,243,595,90,1860,1998,3258,181,2208,482,861
21049,16502,114,31,116,782,2518,734,2158,510,198,420,150,706,275,1295,1391,2342,225,1405,377,755
21051,6000,10,77,26,264,684,146,817,283,95,151,38,160,30,406,671,1075,28,418,121,500
21053,3502,24,14,5,91,877,122,393,97,39,85,23,69,10,140,366,592,49,232,59,215
21055,3656,25,182,22,183,665,131,455,102,27,132,24,78,13,114,302,606,24,274,72,225
21057,2292,11,4,19,70,513,46,280,67,22,71,22,46,9,76,195,497,60,126,35,123
21059,43482,277,240,701,2135,7205,1436,4925,1473,435,2586,416,1189,252,2077,4023,7068,373,4020,1326,1325
21061,4650,19,4,26,320,927,187,564,176,44,128,46,132,71,214,459,650,66,339,88,190
21063,1716,1,32,15,125,172,26,237,57,9,38,13,40,10,57,214,264,8,134,48,216
21065,5398,21,25,50,319,978,166,726,139,87,113,51,146,36,321,569,745,44,464,111,287
21067,144281,1451,154,320,4525,11529,4972,16751,5368,2154,4435,1948,8124,1908,10857,18702,23813,2428,15295,3991,5556
21069,5867,38,23,97,266,932,242,800,196,67,188,39,136,34,217,614,1060,57,406,113,342
21071,9752,8,354,142,445,325,362,1481,254,226,266,121,350,56,388,1320,1852,111,850,249,592
21073,22132,123,35,133,672,2411,560,2304,541,311,662,203,765,195,1597,1837,2259,310,2010,533,4671
21075,2108,54,4,16,74,329,86,297,103,19,78,26,61,14,96,194,234,11,164,53,195
21077,3297,3,4,33,143,605,332,353,206,31,101,32,118,50,193,198,280,128,257,99,131
21079,6938,44,10,43,367,1087,319,832,194,99,187,54,286,51,335,834,1029,84,580,146,357
21081,10691,21,10,92,459,1922,674,1332,676,112,369,100,396,177,641,837,1037,112,1002,256,466
21083,15004,156,59,147,834,2365,731,2056,605,201,473,190,527,77,624,1372,2226,183,1224,378,576
21085,10584,37,14,51,662,2498,431,1273,318,102,321,118,235,77,510,923,1587,72,636,238,481
21087,3881,11,3,39,127,747,104,482,222,31,133,25,67,15,197,455,717,30,268,72,136
21089,13011,14,69,78,641,1048,305,1852,416,144,339,105,439,87,632,1438,3119,117,1178,354,636
21091,3534,15,26,23,245,1037,64,327,101,37,125,28,63,12,145,313,479,14,244,85,151
21093,42241,68,41,231,1531,6284,1209,5524,2162,681,1402,495,1505,599,3353,3956,5601,362,4141,1288,1808
21095,6802,15,438,62,176,318,203,1007,179,93,151,52,189,32,269,1024,1351,35,637,176,395
21097,7376,76,14,41,246,1668,245,871,215,71,191,59,230,56,440,614,1138,82,534,194,391
21099,6145,37,5,26,233,1786,225,825,195,75,139,42,99,31,278,525,623,82,560,125,234
21101,20782,151,267,352,1061,4034,831,2480,544,219,560,214,599,211,971,1650,3387,282,1643,633,693
21103,7246,36,19,64,353,1262,316,898,302,85,338,63,249,74,383,516,858,113,615,205,497
21105,1641,80,5,16,78,234,78,188,88,20,74,21,35,5,69,188,254,9,84,34,81
21107,19629,156,971,160,833,2676,515,2481,973,153,536,171,521,69,761,1878,3452,105,1629,643,946
21109,3920,7,34,60,207,672,89,421,161,95,102,26,89,20,288,587,552,13,239,93,165
21111,367306,285,199,1602,12933,38811,16552,39867,26576,6051,23413,5551,19612,6041,29422,30575,47867,5888,35692,10423,9946
21113,22179,157,24,90,1214,2297,884,2983,700,296,573,253,982,191,1276,2814,3464,328,2087,570,996
21115,5676,4,212,72,232,154,151,979,150,114,176,91,198,19,202,777,1064,39,516,163,363
21117,82389,62,43,443,3272,8060,4604,8574,4975,1235,4797,1143,5133,3180,5343,5770,10761,1513,7866,2376,3239
21119,4282,4,178,29,186,136,115,594,125,60,96,40,90,18,149,688,1125,17,267,99,266
21121,9444,10,138,121,271,929,255,1304,336,174,208,87,418,71,616,1411,1634,52,846,186,377
21123,6286,26,8,55,364,1324,230,741,284,78,227,43,148,44,283,543,885,62,470,185,286
21125,21628,40,158,167,766,2943,689,2686,1068,513,527,187,816,94,2577,2123,3108,135,1712,405,914
21127,4813,3,99,60,261,330,164,720,162,52,117,53,142,23,189,606,957,24,407,132,312
21129,1601,3,48,11,65,90,47,245,58,13,34,21,39,10,50,200,320,11,137,36,163
21131,2585,8,188,15,97,162,57,347,89,28,47,18,68,16,111,349,572,12,161,54,186
21133,6969,16,435,50,253,264,162,990,251,79,168,49,155,99,242,1005,1661,27,513,120,430
21135,4453,9,11,78,266,793,145,591,169,42,128,27,99,29,144,481,776,22,326,85,232
21137,8656,36,13,65,439,1539,395,1114,218,90,246,62,385,76,406,953,1266,90,677,186,400
21139,3467,10,150,27,250,396,141,465,185,37,79,21,96,15,149,256,494,68,342,92,194
21141,10606,134,27,56,497,2800,426,1245,330,112,294,97,285,109,493,884,1220,67,786,287,457
21143,2489,17,21,21,150,289,65,352,80,24,48,9,71,10,139,167,342,53,269,70,292
21145,28308,58,72,227,1436,2294,1197,4006,1395,524,1018,309,1495,206,1693,2202,4772,439,3191,791,983
21147,4507,24,13,39,145,699,140,534,186,65,117,45,103,32,220,658,700,37,435,107,208
21149,3446,68,71,66,159,579,137,424,156,14,141,20,70,17,157,357,523,21,188,112,166
21151,36069,82,75,172,1603,4840,1058,4361,860,487,817,329,1642,292,2332,5762,4961,377,3564,803,1652
21153,3068,4,110,22,172,95,71,488,114,56,78,25,130,18,112,467,573,13,260,68,192
21155,9094,47,18,50,350,2905,309,864,253,72,217,62,185,33,587,752,1147,44,618,226,355
21157,13283,51,59,93,1126,1758,471,1669,591,198,434,114,408,73,574,1247,1763,272,1402,377,603
21159,2650,7,221,20,105,108,80,477,69,30,70,17,98,11,100,388,396,10,221,82,140
21161,6775,25,14,216,265,1002,210,831,193,83,194,75,143,48,367,601,1138,79,744,178,369
21163,11595,22,72,118,729,1660,407,1455,703,194,424,175,458,98,748,1134,1304,104,978,367,445
21165,2128,10,5,13,159,491,61,220,67,17,46,15,46,14,104,221,311,14,149,44,121
21167,9244,59,25,104,347,2096,287,950,239,109,245,72,308,50,402,959,1272,194,774,212,540
21169,3594,24,10,17,127,837,129,453,118,43,101,29,96,38,204,271,494,35,292,104,172
21171,4082,52,1,36,185,913,152,525,132,46,126,27,70,25,182,416,589,25,314,78,188
21173,11430,41,32,91,612,2685,420,1510,337,138,287,92,270,116,667,994,1453,90,872,229,494
21175,4444,9,36,46,370,566,141,466,131,102,144,23,120,34,183,548,584,22,317,97,505
21177,11423,130,528,117,529,1673,254,1474,469,117,314,86,419,39,438,1088,1683,63,1051,293,658
21179,22215,63,45,97,1367,5480,943,2414,1240,240,719,181,661,152,1226,1675,2480,148,1759,577,748
21181,2936,101,8,9,144,564,106,383,79,37,84,38,82,30,140,268,391,52,172,67,181
21183,9288,72,231,89,516,2066,258,977,233,77,290,67,240,38,388,910,1560,56,667,230,323
21185,30784,111,41,168,1243,3269,1554,3543,1622,557,2312,433,1869,523,1625,2845,4089,554,2518,782,1126
21187,4459,14,5,74,158,884,250,467,189,42,111,31,117,43,244,403,442,116,353,123,393
21189,1037,4,13,7,45,56,25,138,41,13,41,9,16,8,36,166,256,3,62,26,72
21191,6029,3,41,39,351,953,368,684,319,72,237,61,290,121,293,556,681,69,443,183,265
21193,8502,10,359,48,291,236,202,1147,236,100,214,82,232,33,422,1131,2275,33,710,206,535
21195,18773,24,1218,210,598,800,529,2971,576,280,584,163,681,66,614,2643,3704,148,1552,405,1007
21197,4420,18,8,21,240,889,141,564,150,59,121,39,92,43,298,443,536,48,381,77,252
21199,22674,57,24,194,882,3205,887,3017,817,299,672,163,796,173,1269,2317,4136,203,1948,531,1084
21201,808,3,1,13,48,145,30,88,25,15,23,2,20,6,38,72,138,21,34,26,60
21203,5443,3,35,27,251,878,123,602,203,108,117,33,164,15,324,702,1026,42,390,109,291
21205,8850,15,13,74,359,1116,217,1028,279,101,213,96,166,53,397,1574,1516,42,875,154,562
21207,6398,20,5,26,248,1460,209,831,177,103,199,60,113,28,165,724,1056,144,431,97,302
21209,25131,343,39,109,812,5026,860,2483,918,263,646,285,1012,232,1955,2586,3036,399,2073,588,1466
21211,21059,132,23,110,828,3509,935,2612,865,288,946,227,891,262,1424,1730,2190,328,1659,706,1394
21213,7984,44,12,43,334,1948,399,1013,383,76,196,54,181,100,461,644,739,110,839,179,229
21215,9229,21,12,59,461,1640,446,1091,627,140,427,114,447,143,510,728,1021,97,633,222,390
21217,9305,14,5,65,259,1858,223,1042,563,91,248,98,169,39,749,1068,1374,77,812,175,376
21219,4134,88,13,35,153,837,188,556,199,42,129,28,131,19,189,396,535,27,250,89,230
21221,4754,80,16,40,196,853,145,657,155,66,132,47,109,16,236,524,595,96,420,86,285
21223,3924,14,15,91,195,796,164,482,160,42,158,47,144,22,183,317,490,33,295,82,194
21225,5798,96,405,62,218,1015,218,655,153,40,144,55,151,30,196,563,957,40,411,121,268
21227,51805,151,65,336,2121,8658,2121,5827,1652,547,1489,553,1709,1641,3456,5846,6778,597,5451,1087,1720
21229,5204,62,6,29,267,1400,201,528,201,54,138,38,117,33,238,559,600,27,351,149,206
21231,7479,171,29,35,163,1713,216,887,181,86,226,37,222,33,479,799,1113,88,554,129,318
21233,5083,74,287,65,291,1009,196,502,234,47,121,47,102,19,207,400,758,23,283,128,290
21235,11394,12,127,83,307,1366,279,1460,310,201,239,95,412,84,753,1821,1857,76,1103,231,578
21237,1538,8,18,8,60,98,47,196,34,13,50,15,22,2,57,281,314,10,98,31,176
21239,12454,629,11,42,477,1404,448,1194,412,190,367,150,628,112,623,1423,1696,265,1101,337,945
22001,23015,176,1266,148,1786,1801,1049,3383,833,314,744,453,1063,325,890,1510,3632,397,1977,530,738
22003,8019,113,135,65,777,703,228,896,196,98,193,89,241,56,391,696,978,839,659,173,493
22005,51797,164,325,364,7078,6200,2361,5987,2192,869,1592,970,2767,860,2883,1913,6576,692,4353,1536,2115
22007,9502,193,230,65,1501,1165,300,1301,417,66,240,160,305,73,399,849,1002,100,612,194,330
22009,13740,246,180,113,1054,866,409,1576,300,157,461,130,389,77,473,1162,2853,977,834,299,1184
22011,14110,293,175,100,1480,1579,389,1679,328,115,497,168,857,161,561,1656,1788,191,1185,354,554
22013,5490,142,121,39,356,850,160,597,221,66,94,72,120,33,186,609,1013,39,450,95,227
22015,48926,139,1080,415,2802,2950,2107,6377,1429,799,1383,824,1892,471,2502,4618,8824,1269,5675,1260,2110
22017,101952,197,1869,712,4598,5807,4090,13234,3075,1583,2525,1865,3396,1007,7346,7946,21829,2651,12242,2677,3303
22019,83301,209,853,379,9328,8499,2594,9704,2597,928,1772,1189,3464,815,4366,6853,11649,1431,11513,1749,3409
22021,3212,71,69,38,230,190,101,389,105,44,137,38,92,26,104,297,693,23,222,82,261
22023,3151,31,92,25,517,275,145,351,159,55,55,47,154,18,126,273,280,71,201,68,208
22025,3043,101,76,52,237,182,102,443,77,27,115,19,88,33,102,288,530,21,211,70,269
22027,5610,78,275,73,334,673,151,673,228,54,133,69,122,57,172,485,1123,63,357,108,382
22029,6601,125,193,118,373,293,292,949,281,53,227,75,189,63,294,575,1167,90,551,171,522
22031,11100,149,401,110,734,1201,398,1401,355,131,308,129,295,87,566,1181,1848,129,928,232,517
22033,192415,229,608,1144,15178,11804,6535,22870,6127,3897,6047,3024,10972,3427,12618,19157,29350,3170,19078,5713,11467
22035,2693,140,19,18,101,152,104,341,72,27,56,27,44,20,216,239,726,20,183,30,158
