"","FIPS","GEOID"
"174","48491","4817"
"175","19153","1903"
"176","37067","3710"
"177","06037","0629"
"178","06071","0628"
"179","47179","4701"
"180","51710","5103"
"181","06057","0603"
"182","48339","4802"
"183","36087","3617"
"184","26091","2605"
"185","37037","3704"
"186","06081","0616"
"187","36103","3603"
"188","25015","2502"
"189","27137","2708"
"190","48113","4824"
"191","48113",NA
"192","39035","3907"
"193","48029","4823"
"194","45019","4506"
"195","04013",NA
"196","26107","2602"
"197","26065","2607"
"198","13117","1307"
"199","12073","1202"
"200","12057","1215"
"201","12099","1223"
"202","12086","1228"
"203","06037","0628"
"204","37183","3702"
"205","47149","4704"
"206","45045","4504"
"207","42029","4206"
"208","42093","4209"
"209","36093","3620"
"210","13031","1312"
"211","53063","5305"
"212","45019","4501"
"213","44009","4402"
"214","51760","5104"
"215","18141","1802"
"216","09120","0904"
"217","51650","5103"
"218","26163","2613"
"219","06113","0604"
"220","36069","3624"
"221","01089","0105"
"222","24510","2407"
"223","17043","1711"
"224","24005","2401"
"225","49035","4901"
"226","17031","1701"
"227","17167","1713"
"228","29510",NA
"229","25009","2506"
"230","06073","0648"
"231","12086","1227"
"232","41051","4101"
"233","13067","1311"
"234","04005","0402"
"235","12057","1214"
"236","19169","1904"
"237","23009","2302"
"238","20161","2001"
"239","26125","2611"
"240","39133","3914"
"241","21111","2102"
"242","25021","2505"
"243","08049","0802"
"244","20045","2002"
"245","36091","3620"
"246","21185","2104"
"247","40083","4005"
"248","42091","4205"
"249","42095","4207"
"250","24021","2406"
"251","51680","5105"
"252","04019","0406"
"253","36119","3616"
"254","06071","0623"
"255","36047","3607"
"256","22033","2205"
"257","22017","2206"
"258","45063","4502"
"259","17031","1705"
"260","22071","2202"
"261","22033",NA
"262","06037","0644"
"263","26163","2606"
"264","33015","3302"
"265","06001","0617"
"266","23005","2301"
"267","54011","5401"
"268","55141","5507"
"269","12031","1205"
"270","04013","0401"
"271","27109","2701"
"272","47037","4707"
"273","48039","4809"
"274","13021","1302"
"275","13089","1304"
"276","17043","1706"
"277","39017","3908"
"278","26061","2601"
"279","49049","4904"
"280","04019","0407"
"281","04013","0408"
"282","27123","2704"
"283","28105","2803"
"284","29161","2908"
"285","18057","1805"
"286","30111",NA
"287","30031","3001"
"288","36005","3615"
"289","01073","0106"
"290","12099","1221"
"291","09110","0902"
"292","08031",NA
"293","17197","1714"
"294","37183","3713"
"295","20173","2004"
"296","35013","3502"
"297","36119","3617"
"298","38017","3800"
"299","12011","1225"
"300","05143","0503"
"301","06081",NA
"302","26125","2610"
"303","40119","4003"
"304","48439","4812"
"305","47157","4709"
"306","34035","3407"
"307","41003","4104"
"308","53033","5309"
"309","06073",NA
"310","29077","2907"
"311","41005","4105"
"312","42043","4210"
"313","53033","5301"
"314","06083","0624"
"315","48113","4806"
"316","72113","7298"
"317","37129","3707"
"318","17089","1711"
"319","17197","1702"
"320","15003","1501"
"321","48201","4818"
"322","29189","2902"
"323","34023","3406"
"324","34013","3410"
"325","05105","0502"
"326","36083","3620"
"327","51107","5110"
"328","44007","4402"
"329","51540","5105"
"330","39165","3901"
"331","24005","2402"
"332","36055","3625"
"333","08031","0801"
"334","55093","5503"
"335","46099","4600"
"336","12115","1217"
"337","29189",NA
"338","24031","2406"
"339","02220","0200"
"340","08014","0807"
"341","06013","0610"
"342","42055","4213"
"343","17031","1708"
"344","48201","4836"
"345","45075","4506"
"346","06037","0642"
"347","17077","1712"
"348","32003","3204"
"349","45083","4504"
"350","53035","5306"
"351","26081","2603"
"352","36081","3605"
"353","55009","5508"
"354","42091","4204"
"355","36007","3619"
"356","08005",NA
"357","34039","3407"
"358","08059",NA
"359","48453","4837"
"360","48209","4835"
"361","48303","4819"
"362","48141","4816"
"363","48303",NA
"364","34017","3408"
"365","32003","3201"
"366","41051",NA
"367","04013","0403"
"368","27037","2702"
"369","06065","0648"
"370","25021","2508"
"371","18105","1809"
"372","01087","0102"
"373","29189","2901"
"374","39153","3913"
"375","01125","0107"
"376","06065","0639"
"377","06087",NA
"378","06047","0613"
"379","12095","1210"
"380","13059","1310"
"381","66010","6698"
"382","15001","1502"
"383","20045","2001"
"384","20091","2003"
"385","22073","2205"
"386","23019","2302"
"387","28049","2803"
"388","30063","3001"
"389","31109","3101"
"390","32031","3202"
"391","23031","2301"
"392","33017","3301"
"393","37081","3705"
"394","38035","3800"
"395","48121","4813"
"396","40027","4004"
"397","01097","0102"
"398","45079","4506"
"399","46027","4600"
"400","06037","0637"
"401","47093","4702"
"402","48439","4825"
"403","48085","4832"
"404","48029","4820"
"405","48215","4815"
"406","50007","5000"
"407","56001","5600"
"408","36067","3622"
"409","33013","3302"
"410","41067",NA
"411","50027","5000"
"412","48491","4837"
"413","51053","5104"
"414","08001","0808"
"415","53075","5305"
"416","22051","2201"
"417","54061","5402"
"418","25013","2501"
"419","06037","0635"
"420","04017","0402"
"421","21113","2106"
"422","34031","3411"
"423","25025","2505"
"424","39057","3910"
"425","29001","2906"
"426","06037","0634"
"427","42003","4217"
"428","36059","3604"
"429","06111","0626"
"430","06097","0602"
"431","01101","0102"
"432","34035","3412"
"433","09130","0903"
"434","60010","6098"
"435","44005","4401"
"436","12081","1216"
"437","06041",NA
"438","39173","3905"
"439","48453",NA
"440","36005","3613"
"441","53061","5302"
"442","06071","0633"
"443","27131","2702"
"444","48453","4821"
"445","27003","2706"
"446","36075","3624"
"447","08035","0804"
"448","44003","4402"
"449","26021","2604"
"450","37001","3709"
"451","18005","1806"
"452","35043","3501"
"453","12033","1201"
"454","51013","5108"
"455","48029","4835"
"456","26139","2603"
"457","17031","1706"
"458","27049","2701"
"459","50021","5000"
"460","06013","0608"
"461","06017","0605"
"462","17113","1717"
"463","15009","1502"
"464","39159","3904"
"465","06071",NA
"466","25001","2509"
"467","30013","3002"
"468","34013","3411"
"469","44001","4401"
"470","18089","1801"
"471","35049","3503"
"472","47157","4708"
"473","39009","3912"
"474","53077","5304"
"475","27053",NA
"476","42133","4210"
"477","04019",NA
"478","36081","3606"
"479","09140","0905"
"480","48167",NA
"481","06001",NA
"482","06065",NA
"483","41067","4101"
"484","17031","1702"
"485","17119","1713"
"486","06059","0649"
