fips,county,state_abb,gdp_2023
18053,Grant,IN,2526146
18055,Greene,IN,663129
18057,Hamilton,IN,23231110
18059,Hancock,IN,3761571
18061,Harrison,IN,1239291
18063,Hendricks,IN,7751155
18065,Henry,IN,1536053
18067,Howard,IN,4968417
18069,Huntington,IN,1582554
18071,Jackson,IN,2882407
18073,Jasper,IN,1438667
18075,Jay,IN,1052466
18077,Jefferson,IN,1713315
18079,Jennings,IN,749300
18081,Johnson,IN,6157867
18083,Knox,IN,1903915
18085,Kosciusko,IN,6390847
18087,Lagrange,IN,1938105
18089,Lake,IN,24165578
18091,Laporte,IN,4396220
18093,Lawrence,IN,1488721
18095,Madison,IN,4131600
18097,Marion,IN,106819869
18099,Marshall,IN,1726578
18101,Martin,IN,1185807
18103,Miami,IN,936012
18105,Monroe,IN,7295054
18107,Montgomery,IN,1882560
18109,Morgan,IN,1989762
18111,Newton,IN,354299
18113,Noble,IN,2045852
18115,Ohio,IN,113603
18117,Orange,IN,675715
18119,Owen,IN,612523
18121,Parke,IN,412240
18123,Perry,IN,930525
18125,Pike,IN,531808
18127,Porter,IN,8223354
18129,Posey,IN,4598651
18131,Pulaski,IN,709451
18133,Putnam,IN,1107496
18135,Randolph,IN,928348
18137,Ripley,IN,1078202
18139,Rush,IN,663526
18141,St. Joseph,IN,14975120
18143,Scott,IN,717434
18145,Shelby,IN,2174492
18147,Spencer,IN,912024
18149,Starke,IN,561117
18151,Steuben,IN,1511050
18153,Sullivan,IN,968271
18155,Switzerland,IN,244489
18157,Tippecanoe,IN,10924881
18159,Tipton,IN,657663
18161,Union,IN,147699
18163,Vanderburgh,IN,11755123
18165,Vermillion,IN,935783
18167,Vigo,IN,5006205
18169,Wabash,IN,1311465
18171,Warren,IN,283351
18173,Warrick,IN,2690518
18175,Washington,IN,718095
18177,Wayne,IN,2969521
18179,Wells,IN,1199283
18181,White,IN,1143932
18183,Whitley,IN,2050396
19001,Adair,IA,500394
19003,Adams,IA,215688
19005,Allamakee,IA,533600
19007,Appanoose,IA,393687
19009,Audubon,IA,347585
19011,Benton,IA,897548
19013,Black Hawk,IA,7953333
19015,Boone,IA,1040805
19017,Bremer,IA,1205892
19019,Buchanan,IA,827922
19021,Buena Vista,IA,1425482
19023,Butler,IA,550384
19025,Calhoun,IA,427098
19027,Carroll,IA,1355124
19029,Cass,IA,726514
19031,Cedar,IA,629905
19033,Cerro Gordo,IA,2771827
19035,Cherokee,IA,810264
19037,Chickasaw,IA,806330
19039,Clarke,IA,438218
19041,Clay,IA,1104274
19043,Clayton,IA,850637
19045,Clinton,IA,2288022
19047,Crawford,IA,812843
19049,Dallas,IA,8031733
19051,Davis,IA,291449
19053,Decatur,IA,207514
19055,Delaware,IA,944374
19057,Des Moines,IA,2124389
19059,Dickinson,IA,1105415
19061,Dubuque,IA,7014874
19063,Emmet,IA,346032
19065,Fayette,IA,758170
19067,Floyd,IA,886329
19069,Franklin,IA,614966
19071,Fremont,IA,328808
19073,Greene,IA,514357
19075,Grundy,IA,570433
19077,Guthrie,IA,534964
19079,Hamilton,IA,788053
19081,Hancock,IA,897652
19083,Hardin,IA,933199
19085,Harrison,IA,535290
19087,Henry,IA,899720
19089,Howard,IA,540575
19091,Humboldt,IA,451174
19093,Ida,IA,626486
19095,Iowa,IA,964151
19097,Jackson,IA,659075
19099,Jasper,IA,1174834
19101,Jefferson,IA,740786
19103,Johnson,IA,9674806
19105,Jones,IA,673402
19107,Keokuk,IA,336576
19109,Kossuth,IA,981971
19111,Lee,IA,1774682
19113,Linn,IA,17227849
19115,Louisa,IA,769295
19117,Lucas,IA,266695
19119,Lyon,IA,960549
19121,Madison,IA,506735
19123,Mahaska,IA,870010
19125,Marion,IA,2189021
19127,Marshall,IA,1772838
19129,Mills,IA,512229
19131,Mitchell,IA,804208
19133,Monona,IA,383764
19135,Monroe,IA,484287
19137,Montgomery,IA,423925
19139,Muscatine,IA,2524754
19141,O'brien,IA,898626
19143,Osceola,IA,379581
19145,Page,IA,636541
19147,Palo Alto,IA,556422
19149,Plymouth,IA,1569701
19151,Pocahontas,IA,471793
19153,Polk,IA,48719285
19155,Pottawattamie,IA,4552586
19157,Poweshiek,IA,1215623
19159,Ringgold,IA,157466
19161,Sac,IA,581965
19163,Scott,IA,10401105
19165,Shelby,IA,808166
19167,Sioux,IA,2577309
19169,Story,IA,5913693
19171,Tama,IA,662882
19173,Taylor,IA,281085
19175,Union,IA,820383
19177,Van Buren,IA,223115
19179,Wapello,IA,1720335
19181,Warren,IA,1435070
19183,Washington,IA,1263482
19185,Wayne,IA,227226
19187,Webster,IA,2115534
19189,Winnebago,IA,481408
19191,Winneshiek,IA,1001120
19193,Woodbury,IA,5531457
19195,Worth,IA,368459
19197,Wright,IA,841855
20001,Allen,KS,550597
20003,Anderson,KS,387165
20005,Atchison,KS,613259
20007,Barber,KS,202673
20009,Barton,KS,1292914
20011,Bourbon,KS,577764
20013,Brown,KS,504554
20015,Butler,KS,2724650
20017,Chase,KS,124425
20019,Chautauqua,KS,85261
20021,Cherokee,KS,834410
20023,Cheyenne,KS,132840
20025,Clark,KS,216834
20027,Clay,KS,282112
20029,Cloud,KS,456890
20031,Coffey,KS,717940
20033,Comanche,KS,71049
20035,Cowley,KS,1311009
20037,Crawford,KS,1646436
20039,Decatur,KS,161677
20041,Dickinson,KS,665664
20043,Doniphan,KS,247113
20045,Douglas,KS,5438191
20047,Edwards,KS,167344
20049,Elk,KS,86035
20051,Ellis,KS,1738049
20053,Ellsworth,KS,281763
20055,Finney,KS,2310012
20057,Ford,KS,2405288
20059,Franklin,KS,873801
20061,Geary,KS,2847226
20063,Gove,KS,225172
20065,Graham,KS,171650
20067,Grant,KS,384780
20069,Gray,KS,658720
20071,Greeley,KS,129986
20073,Greenwood,KS,177441
20075,Hamilton,KS,216527
20077,Harper,KS,291040
20079,Harvey,KS,1345105
20081,Haskell,KS,369292
20083,Hodgeman,KS,139278
20085,Jackson,KS,365647
20087,Jefferson,KS,372622
20089,Jewell,KS,130802
20091,Johnson,KS,58411422
20093,Kearny,KS,227969
20095,Kingman,KS,315236
20097,Kiowa,KS,114986
20099,Labette,KS,803553
20101,Lane,KS,151780
20103,Leavenworth,KS,3046021
20105,Lincoln,KS,147096
20107,Linn,KS,487297
20109,Logan,KS,165949
20111,Lyon,KS,1536126
20113,Mcpherson,KS,2007929
20115,Marion,KS,401797
20117,Marshall,KS,555505
