"state","state_code","FIPS","county","pop_2024","terminated_loss","terminated_loss_noself","terminated_econ_loss","terminated_job_loss","terminated_econ_loss_noself","terminated_job_loss_noself","IDC_loss","IDC_econ_loss","IDC_job_loss","grant_funds","grant_funds_econ","overlap_loss","overlap_econ_loss","overlap_job_loss","overlap_loss_noself","overlap_econ_loss_noself","overlap_job_loss_noself","combined_loss","combined_econ_loss","combined_job_loss","combined_loss_noself","combined_econ_loss_noself","combined_job_loss_noself","terminated_loss_log","terminated_loss_noself_log","terminated_econ_loss_log","terminated_job_loss_log","terminated_econ_loss_noself_log","terminated_job_loss_noself_log","IDC_loss_log","IDC_econ_loss_log","IDC_job_loss_log","grant_funds_log","grant_funds_econ_log","combined_loss_log","combined_econ_loss_log","combined_job_loss_log","combined_loss_noself_log","combined_econ_loss_noself_log","combined_job_loss_noself_log"
"Alabama","AL","01001","Autauga County",61464,49578.132233895,49578.132233895,119484.769096983,0.466203158967836,119484.769096983,0.466203158967836,152708.527248583,369256.836811216,1.43912895743806,1071845.96494038,2591583.76526061,1787.41062979922,4309.47603591952,0.0167635259957886,0,0,0,200499.248852679,484432.129872279,1.88856859041011,202286.659482478,488741.605908199,1.9053321164059,10.8113253030942,10.8113253030942,11.6909525562077,0.382676174332266,11.6909525562077,0.382676174332266,11.9362928811961,12.8192504237601,0.891640990914387,13.8848938538367,14.7677801250334,12.2085707668885,13.090734681948,1.0607610819881,12.21744602022,13.0995912615907,1.06654770955434
"Alabama","AL","01003","Baldwin County",261608,47676.8337567846,47676.8337567846,116803.408645229,0.454473943293666,116803.408645229,0.454473943293666,369807.550135073,906587.440561386,3.5199505077494,2194336.02483675,5399252.26883411,2195.4950355103,5414.92579682787,0.0208849884712872,0,0,0,415288.888856348,1017975.92340979,3.95353946257178,417484.383891858,1023390.84920661,3.97442445104307,10.7722218677538,10.7722218677538,11.6682560939142,0.374644284247217,11.6682560939142,0.374644284247217,12.8207407186389,13.7174438670893,1.50850104417123,14.6013905200698,15.5017712184232,12.9367320827208,13.8333278072795,1.60010236400299,12.942004814018,13.8386330108956,1.60430967568561
"Alabama","AL","01005","Barbour County",24358,12137.8755210238,12137.8755210238,29353.2993402499,0.114681385145097,29353.2993402499,0.114681385145097,40317.8274351486,98267.24191321,0.383973156117481,280164.591307027,683378.41716739,456.529424304233,1107.51906246431,0.00433025891474046,0,0,0,51999.1735318681,126513.022190996,0.494324282347837,52455.7029561723,127620.54125346,0.498654541262578,9.40416843437812,9.40416843437812,10.2871942997157,0.10856861084375,10.2871942997157,0.10856861084375,10.6045738208528,11.4954561808251,0.324958461138504,12.5431361048699,13.4348054999297,10.8590023347093,11.7481084283662,0.401674119615003,10.8677434027262,11.7568244542454,0.404567733096006
"Alabama","AL","01007","Bibb County",22258,23904.499724959,23904.499724959,57803.0475786116,0.22535064650142,57803.0475786116,0.22535064650142,86976.1982702388,211839.482624413,0.825318478203626,639309.299810099,1554200.77856517,1135.78421946558,2773.07179100322,0.0108202070573598,0,0,0,109744.913775732,266869.458412021,1.03984891764769,110880.697995198,269642.530203024,1.05066912470505,10.0818638254625,10.0818638254625,10.9648140795203,0.203227045079229,10.9648140795203,0.203227045079229,11.3734012744376,12.2635888299779,0.601754480414326,13.3681452176998,14.2564726461172,11.6059230981325,12.4945186451604,0.712875745136925,11.616219128116,12.5048561071641,0.718166142187821
"Alabama","AL","01009","Blount County",60163,376556.962360711,376556.962360711,907480.418277945,3.54207928150548,907480.418277945,3.54207928150548,1077663.69704069,2604280.98342985,10.1659044801895,7968136.40385826,19243318.4002497,17577.3830840278,42447.9220422619,0.165740172932613,0,0,0,1436643.27631737,3469313.47966554,13.5422435887623,1454220.6594014,3511761.4017078,13.7079837616949,12.8388272648662,12.8388272648662,13.7184283691847,1.51338489872818,13.7184283691847,1.51338489872818,13.8903069403614,14.7726675650153,2.41286489232798,15.890961322558,16.7726745143214,14.1778205883605,15.0594675761139,2.67705776479328,14.1899813734631,15.0716285781763,2.68839045939265
"Alabama","AL","01011","Bullock County",9901,4315.54730065119,4315.54730065119,10393.3993496356,0.0405661446261212,10393.3993496356,0.0405661446261212,30806.5018590708,74241.9211089764,0.289713042645956,184476.28300676,444694.623167813,148.992734587303,358.828413380254,0.00140053170512065,0,0,0,34973.0564251347,84276.4920452318,0.328878655566957,35122.049159722,84635.320458612,0.330279187272078,8.37021112571844,8.37021112571844,9.2490224159998,0.0397649348705833,9.2490224159998,0.0397649348705833,10.335513506157,11.2150977135203,0.254419746067178,12.1252816075473,13.0051453342372,10.4623618206175,11.3418701100624,0.284335470496299,10.4666128651569,11.3461187733047,0.285388835446704
"Alabama","AL","01013","Butler County",18256,13538.8308395215,13538.8308395215,33075.2462448493,0.129163300312524,33075.2462448493,0.129163300312524,35096.0699463807,87002.3500144182,0.340029521239875,254428.312692414,630747.899007985,433.531903712205,1059.11743849402,0.0041451845407164,0,0,0,48201.3688821899,119018.478820773,0.465047637011682,48634.9007859021,120077.596259267,0.469192821552399,9.51339105299985,9.51339105299985,10.4065706676338,0.121476916260224,10.4065706676338,0.121476916260224,10.4658729286584,11.3737019028082,0.292691644496172,12.446778326658,13.3546631209734,10.7831634457644,11.6870424462678,0.381887758671897,10.7921172364829,11.6959017761929,0.384713148994727
"Alabama","AL","01015","Calhoun County",116427,107747.693556532,107747.693556532,260880.902113326,1.01900316455033,260880.902113326,1.01900316455033,326692.490085111,795575.540269582,3.10256558307082,2390301.77982642,5815268.7728842,5369.90477599702,13207.260474507,0.0517078910969958,0,0,0,429070.278865646,1043249.1819084,4.06986085652415,434440.183641643,1056456.44238291,4.12156874762115,11.5875568831271,11.5875568831271,12.4718231015794,0.702603906714477,12.4718231015794,0.702603906714477,12.696777671113,13.5868223386866,1.41161252997763,14.6869306020035,15.5759977354442,12.9693783353105,13.8578515728208,1.62331337275393,12.981815848913,13.8704318335259,1.6334607881415
"Alabama","AL","01017","Chambers County",33813,45553.7240644767,45553.7240644767,109757.72731808,0.428338576737153,109757.72731808,0.428338576737153,220866.223755318,532741.7588,2.07770768866533,1389629.90596461,3354405.46949041,1445.05516200798,3494.19709770384,0.0136194570097846,0,0,0,264974.892657787,639005.289020376,2.4924268083927,266419.947819795,642499.48611808,2.50604626540248,10.7266696089345,10.7266696089345,11.6060398477584,0.356511934369402,11.6060398477584,0.356511934369402,12.3053170024615,13.1857939577521,1.12418506296196,14.1445487345689,15.0257854034948,12.4873941297275,13.3676695752837,1.25059685513416,12.4928328475142,13.3731228523552,1.25448898247657
"Alabama","AL","01019","Cherokee County",26138,9480.76322290341,9480.76322290341,22942.764119102,0.0896500750481789,22942.764119102,0.0896500750481789,29966.6573042525,72810.3605596799,0.284548059039203,215849.159643437,523449.463738215,406.49461084935,978.986100649275,0.00382104934198389,0,0,0,39040.9259163065,94774.1385781326,0.370377084745398,39447.4205271559,95753.1246787819,0.374198134087382,9.15712557193149,9.15712557193149,10.040801462624,0.0858566126333365,10.040801462624,0.0858566126333365,10.3078739892292,11.1956272736539,0.250406951456607,12.282339740587,13.1681976796736,10.5723913711829,11.4592624025637,0.315085946306967,10.5827492881381,11.4695389837003,0.317870385796556
