"FIPS","IDC_loss","IDC_econ_loss","IDC_job_loss","grant_funds","grant_funds_econ","overlap_loss","overlap_econ_loss","overlap_job_loss","overlap_loss_noself","overlap_econ_loss_noself","overlap_job_loss_noself","terminated_econ_loss"
"23001",39265.95,90110.3211538461,0.37695312,248758,570867.717948718,0,0,0,0,0,0,NA
"23005",3700945.2,8493194.75384615,35.52907392,19538254,44837788.025641,0,0,0,0,0,0,NA
"23009",21734100.15,49876973.4211538,208.64736144,90323586,207281049.923077,0,0,0,0,0,0,712609.372820513
"23015",69789.1,160157.037179487,0.66997536,862744,1979886.87179487,0,0,0,0,0,0,NA
"23019",565573.45,1297918.55833333,5.42950512,8093716,18574040.5641026,0,0,0,0,0,0,NA
"23031",877184.4,2013025.73846154,8.42097024,7007752,16081892.4102564,0,0,0,0,0,0,NA
"24003",0,0,0,1650395,4522390.38630589,0,0,0,0,0,0,NA
"24005",1453110.7,3168989.41359319,12.78737416,21589020,47082012.285679,0,0,0,0,0,0,NA
"24021",233988.6,510289.681509806,2.05909968,2987685,6515637.20241766,0,0,0,0,0,0,NA
"24027",1398073.7,3048962.99691625,12.30304856,11637822,25380127.4158135,0,0,0,0,0,0,NA
"24031",7533511.35,16549510.6527802,66.007617305,215383486,469858174.870591,0,0,0,0,0,0,162103.072011842
"24033",10492615.45,22882625.0346614,92.33501596,65578355,143015334.451708,0,0,0,0,0,0,NA
"24039",99117,216157.463920069,0.8722296,501617,1093942.09448625,0,0,0,0,0,0,NA
"24045",0,0,0,1806120,3938843.17256692,0,0,0,0,0,0,NA
"24510",193515238.05,422024103.703466,1702.93409484,1129761438,2463819196.23042,261561.15,570420.763784384,2.30173812,0,0,0,25084452.2164056
"25001",1354891.25,3040514.16484763,11.11010825,6853365,15379650.1079854,0,0,0,0,0,0,NA
"25005",247703.55,555872.032133977,2.03116911,2410962,5410444.64779692,0,0,0,0,0,0,NA
"25009",628142,1409614.71891986,5.1507644,4742123,10641807.7118365,0,0,0,0,0,0,NA
"25013",756553.1,1697782.32534116,6.20373542,5001984,11224962.3018388,0,0,0,0,0,0,NA
"25015",7929717.1,17795094.0090465,65.02368022,42473849,95441646.9614171,0,0,0,0,0,0,550608.98459379
"25017",91471363.75,205367747.946857,748.4191947,627563916,1408828333.83735,436822.65,980274.582813403,3.58194573,0,0,0,40023867.162934
"25021",3961998.7,8901150.49548864,32.38411858,30046184,67544775.8709518,0,0,0,0,0,0,NA
"25023",55774,149559.338238434,0.5075434,755787,1898031.50850265,0,0,0,0,0,0,NA
"25025",457739063.75,1027213148.75712,3753.46032275,2477003664,5558648878.10848,2127391.5,4774083.52140916,17.4446103,0,0,0,184175397.375916
"25027",42955055.85,96395526.7729024,352.23145797,205829758,461902971.730138,62780.5,140885.845654562,0.5148001,0,0,0,1660596.4780207
"26005",35314.1,89518.1916641975,0.353141,957966,2428361.02281481,0,0,0,0,0,0,NA
"26049",123000,311794.37037037,1.23,468000,1186339.55555556,0,0,0,0,0,0,NA
"26061",791030.25,2005193.32311111,7.9103025,4318989,10948263.869037,0,0,0,0,0,0,NA
"26065",19625064.15,49767082.2946555,196.13252874,113783952,288540232.60778,145098.35,367811.77788642,1.4509835,0,0,0,1960409.7907121
"26073",254724.7,645705.101254321,2.547247,1903950,4826348.71111111,0,0,0,0,0,0,781919.442962963
"26077",636008.75,1612227.21753086,6.3600875,3547893,8993602.14696296,0,0,0,0,0,0,NA
