"FIPS","terminated_loss","terminated_loss_noself","terminated_econ_loss","terminated_job_loss","terminated_econ_loss_noself","terminated_job_loss_noself","IDC_loss","IDC_econ_loss","IDC_job_loss","grant_funds","grant_funds_econ","overlap_loss","overlap_econ_loss","overlap_job_loss","overlap_loss_noself","overlap_econ_loss_noself","overlap_job_loss_noself","state_FIPS","combined_loss","combined_econ_loss","combined_job_loss","combined_loss_noself","combined_econ_loss_noself","combined_job_loss_noself","terminated_loss_log","terminated_loss_noself_log","terminated_econ_loss_log","terminated_job_loss_log","terminated_econ_loss_noself_log","terminated_job_loss_noself_log","IDC_loss_log","IDC_econ_loss_log","IDC_job_loss_log","grant_funds_log","grant_funds_econ_log","combined_loss_log","combined_econ_loss_log","combined_job_loss_log","combined_loss_noself_log","combined_econ_loss_noself_log","combined_job_loss_noself_log"
"20049",117.468687336592,115.945176376128,319.718538256109,0.00102417084601083,316.118531583808,0.00101059645364605,3188.3876726628,8832.63081894645,0.0271967132235692,19962.6385245036,55403.0526879765,6.5685990119944,17.9562158710266,0.0000569670560598648,0,0,0,"20",3299.2877609874,9134.39314133153,0.0281639170135201,3304.33284903893,9148.74935053026,0.0282073096772152,4.77464868377185,4.76170524699897,5.77056391062902,0.00102364674086818,5.75927562065603,0.00101008614483184,8.0675842252104,9.08632140035571,0.0268334542050303,9.9016678240593,10.9224080232724,8.10176494395206,9.11991150470395,0.0277746066695812,8.10329245796788,9.12148176450969,0.0278168098118333
"20051",443.925415359079,442.378960131266,1241.10097291575,0.00391824430796168,1237.44374214187,0.00390447439566193,24133.5289338231,67629.546634111,0.20611929434856,204979.666317072,574528.738164114,31.8746623969701,88.4154089153293,0.000281373623323175,0,0,0,"20",24545.5796867852,68782.2321981114,0.209756165033198,24575.9078939544,68866.9903762529,0.210023768744222,6.09790666218414,6.09442484484136,7.12455955783279,0.0039105879817876,7.12161082370866,0.00389687171872147,10.0913988299353,11.1218150332527,0.187408010783275,12.2306709430246,13.2613071384893,10.1083278032228,11.1387152761667,0.190418822799982,10.1095625775646,11.1399467681544,0.190640003005983
"20053",216.271467271308,216.271467271308,587.154852455827,0.00187841107623322,587.154852455827,0.00187841107623322,7487.48153255809,20918.3099199046,0.0636237771166948,45629.4067106379,127632.619047839,6.91524265670035,19.0653984418822,0.00005936954483392,0,0,0,"20",7696.8377571727,21486.3993739186,0.0654428186480941,7703.7529998294,21505.4647723605,0.065502188192928,5.38114757294066,5.38114757294066,6.37699026774363,0.0018766490683194,6.37699026774363,0.0018766490683194,8.92112132332246,9.94842793101455,0.0616817354552931,10.7283295871107,11.7569190873519,8.94869475765026,9.9752219666746,0.0633905049016178,8.94959269011246,9.97610885600499,0.0634462262315054
"20055",1001.88994557243,993.933211522447,2758.31803217385,0.00915776167578134,2738.563261693,0.00908970889583621,25103.3098044184,70017.3896956722,0.21895934547373,154076.125402402,429952.303954935,61.1267208121399,171.649694116365,0.000585463794378162,0,0,0,"20",26044.0730291787,72604.0580337297,0.227531643355133,26097.2430159409,72755.9529573652,0.228049054369566,6.91064105668987,6.90267561080763,7.9227388383874,0.00911608363479602,7.91555379313491,0.00904864613670588,10.1307948157355,11.1565131964675,0.197997499224144,11.9452085703314,12.9714318863192,10.1675838941369,11.1927898682721,0.205005359054993,10.169623273648,11.194879753764,0.20542677548213
"20057",734.204325087723,722.906108883099,2049.98846373506,0.00668793973290475,2021.22634344442,0.00658859903745019,30752.592869364,85102.9919461893,0.273819990257136,183516.720368571,508091.554805198,53.4305789131802,149.218860632986,0.000501429065771636,0,0,0,"20",31433.3666155385,87003.7615492914,0.280006500924269,31475.4989782471,87124.2182896337,0.280408589294586,6.60014845389648,6.58466170011291,7.626077133354,0.00666567468039178,7.61195433369361,0.00656698908641384,10.3337621076894,11.3516292223472,0.242020252235298,12.1200665105804,13.1384189044636,10.3556570515936,11.3737181265907,0.246865156765714,10.3569964821867,11.3751016535361,0.247179237381125
"20059",7788.56453466138,7787.00609406752,21776.1186495115,0.0658748882701068,21772.4275289114,0.0658609987033019,227622.326848185,637267.088685647,1.91726982019416,1373908.3782388,3846994.09210568,370.123685688551,1035.91102562172,0.00314672906576804,0,0,0,"20",235040.767697158,658007.296309537,1.97999797939849,235409.332942253,659039.516214559,1.98313081889746,8.96054023674535,8.96034014898633,9.98861509432455,0.0637959532554967,9.98844558459699,0.0637829220287955,12.3354474665281,13.3649457073759,1.07064818581731,14.1331707948868,15.1628029059618,12.3675185122148,13.3969728186011,1.09192262246289,12.3690853680967,13.3985402929522,1.09297335938076
"20061",1754.80592561726,1745.63933406304,5021.49171270139,0.0166632349937812,4999.90646343302,0.0165841900621455,129795.290275213,363198.130582594,1.09905777455828,763885.13264825,2136957.58314918,89.545709277215,251.447281550141,0.000835794503003988,0,0,0,"20",131460.550491553,367968.175013746,1.11488521504905,131540.929609276,368198.037046027,1.11564196462042,7.4706832473681,7.46544884008735,8.52168144665316,0.0165259265295609,8.51737446767131,0.0164481741314008,11.7737215025295,12.802706531936,0.741488565261161,13.5461740160046,14.5748941532755,11.786469696146,12.8157544500931,0.749000539181052,11.7870809361204,12.8163789324763,0.749358295813878
"20063",28.7628324525629,28.7628324525629,80.4807512973438,0.00024266619158044,80.4807512973438,0.00024266619158044,1504.56660429331,4224.16054539562,0.0126694779675788,9328.66852735329,26165.5515780669,1.99745023497552,5.60194643014458,0.0000167785819737944,0,0,0,"20",1531.3319865109,4299.03935026282,0.0128953655771854,1533.32943674587,4304.64129669297,0.0129121441591592,3.3932603819333,3.3932603819333,4.40036681195114,0.000242636752902571,4.40036681195114,0.000242636752902571,7.3169245875897,8.34881253797954,0.0125898916381341,9.1409547655954,10.1722372168023,7.33454602820206,8.36637945286369,0.0128129282999947,7.33584871554947,8.36768137131762,0.012829493133419
"20065",54.7584175109972,54.7577821964994,155.773183258438,0.000527906369390871,155.771131904095,0.000527898555022549,3063.90998747774,8551.616008647,0.0266245309298358,18656.8343778688,52077.938082033,5.91127586180705,16.2930643551023,0.0000567307636942832,0,0,0,"20",3112.75712912693,8691.09612755034,0.0270957065355323,3118.66776967423,8707.3871405511,0.0271524294848583,4.02102838568722,4.02101699156692,5.05480006815233,0.000527767075843874,5.0547869832119,0.000527759265598658,8.02777348006883,9.0539924810564,0.0262762661730482,9.834021410746,10.8605158865446,8.04358535613681,9.07016940062837,0.026735116999337,8.04548179105493,9.07204187939918,0.0267903420214225
"20067",1079.08074134106,1079.07947071207,2724.41681862939,0.0105997065611867,2724.41271592071,0.01059969093245,5683.43149242567,15815.8893014313,0.0501060284076729,36191.5393935974,100537.029404637,20.191992202808,54.2696385715068,0.000196160952192903,0,0,0,"20",6742.32024156392,18486.0364814892,0.0605095740166666,6762.51096313774,18540.302017352,0.0607057193401229,6.98479107782482,6.98478990140375,7.91037665636492,0.0105439235146422,7.91037515101288,0.0105439080498278,8.64548639985183,9.66883359123073,0.0488911385072309,10.496608282474,11.5182913369415,8.81630770005293,9.82482503470957,0.0587495228146326,8.81929740745463,9.82775606412715,0.0589344595578567
