"FIPS","terminated_loss","terminated_loss_noself","terminated_econ_loss","terminated_job_loss","terminated_econ_loss_noself","terminated_job_loss_noself","IDC_loss","IDC_econ_loss","IDC_job_loss","grant_funds","grant_funds_econ","overlap_loss","overlap_econ_loss","overlap_job_loss","overlap_loss_noself","overlap_econ_loss_noself","overlap_job_loss_noself","rho"
"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001",48782.3473878638,48782.3473878638,117567.39908004,0.458726422014024,117567.39908004,0.458726422014024,149697.121289835,361971.56160805,1.41082738920826,1050209.43703493,2539234.61058813,1745.83346906761,4209.61534748336,0.0163760927460544,0,0,0,0
"01003",47996.8724685897,47996.8724685897,117550.904317752,0.457423080357794,117550.904317752,0.457423080357794,375820.998465426,921082.036985947,3.57653819310052,2226646.48200415,5477103.80088335,2215.12134977455,5463.5580113316,0.0210728072716377,0,0,0,0
"01005",11566.2490476103,11566.2490476103,27972.6045964012,0.109288675192784,27972.6045964012,0.109288675192784,38335.7972158781,93436.901584454,0.36510466657612,266319.676772663,649580.048179873,433.050053276226,1050.44242007738,0.00410698768848225,0,0,0,0
"01007",22886.3074609932,22886.3074609932,55338.3056517832,0.215736545026383,55338.3056517832,0.215736545026383,83349.7628995663,202972.362105629,0.790747715327734,612596.850955176,1489065.0535476,1086.4964254529,2652.24526802676,0.010347917045245,0,0,0,0
"01009",365000.938575471,365000.938575471,879623.456736865,3.43334032721582,879623.456736865,3.43334032721582,1044698.44357065,2524496.45587894,9.85437180599395,7723682.50197108,18652255.7007421,17034.9240382047,41136.4126886706,0.160617406657946,0,0,0,0
"01011",4041.70515159412,4041.70515159412,9733.88837324495,0.0379920284249847,9733.88837324495,0.0379920284249847,29022.0124360325,69941.14789236,0.272930422299009,173631.052348794,418546.435428397,139.305963913503,335.499164734097,0.00130947606078692,0,0,0,0
"01013",12981.9743032445,12981.9743032445,31707.6257976923,0.123832372695197,31707.6257976923,0.123832372695197,33420.0797173953,82830.5741512257,0.323759735203425,242342.09478153,600604.179331513,412.880444616523,1008.41810581798,0.00394663047762921,0,0,0,0
"01015",103489.776538623,103489.776538623,250548.762891534,0.978632894783616,250548.762891534,0.978632894783616,313808.121085624,764073.069016978,2.9799000844994,2295648.14607015,5584146.16136776,5149.65735938495,12661.4453472589,0.0495684974114598,0,0,0,0
"01017",42838.4535838943,42838.4535838943,103216.297704846,0.402809298539533,103216.297704846,0.402809298539533,207822.628048573,501279.839966142,1.95499311233627,1307174.27906004,3155334.8817886,1358.7594056984,3285.69037748922,0.012806450180018,0,0,0,0
"01019",8943.03895021523,8943.03895021523,21643.7394895146,0.0845761491414093,21643.7394895146,0.0845761491414093,28278.4257994147,68716.4335519051,0.268556092056137,203640.22196432,493877.814216599,383.091400762132,922.622703018766,0.00360105916716404,0,0,0,0
"01021",88047.3800911468,88047.3800911468,212240.84763447,0.828141705140333,212240.84763447,0.828141705140333,262889.055716631,637781.645432324,2.48481321197532,1929280.19188076,4675567.79095715,4027.50821565762,9737.5510325776,0.0379655474448092,0,0,0,0
"01023",973.211585561426,973.211585561426,2411.75311938794,0.00928907812650754,2411.75311938794,0.00928907812650754,4914.17716329395,13066.1744312604,0.0485999497607026,34531.8984671148,92230.1315291913,53.0561619035246,141.785092313185,0.000521682247850571,0,0,0,0
"01025",8168.92791243803,8168.92791243803,19725.0102380258,0.0768777498906698,19725.0102380258,0.0768777498906698,37641.6868959227,91467.1421143159,0.354834340967427,243584.658071014,592276.893423822,383.372392333719,939.22266210013,0.00362443607192565,0,0,0,0
"01027",11145.9938748449,11145.9938748449,26881.5819416794,0.104774726895831,26881.5819416794,0.104774726895831,33373.6214810968,80627.9036711697,0.314237206192583,244238.119902141,590103.265243519,502.0727588678,1217.85089955952,0.0047287523131883,0,0,0,0
"01029",8239.65736496695,8239.65736496695,20836.23780627,0.0822186278264467,20836.23780627,0.0822186278264467,25153.2785418251,63135.2509722802,0.247747240707217,183615.103100082,461687.845899128,672.100536810323,1809.29793247348,0.00723377900803284,0,0,0,0
"01031",20195.8146851719,20195.8146851719,50002.8433684716,0.195143866212782,50002.8433684716,0.195143866212782,76554.9104995895,196882.08468248,0.767383129023566,528853.552003633,1348054.01332325,1072.53977751434,2733.85665915124,0.0107190357231798,0,0,0,0
"01033",26981.2304837129,26981.2304837129,66313.019610633,0.259079872518483,66313.019610633,0.259079872518483,89815.1669519936,221029.625822701,0.857295776652803,637028.398006656,1571543.71539186,1525.01594123887,3884.59590994602,0.0152574796941312,0,0,0,0
"01035",6253.13337289199,6253.13337289199,15590.0587502226,0.0606671627135539,15590.0587502226,0.0606671627135539,23531.1905450171,58710.2769113892,0.228357826381006,161101.129627665,401777.187399587,218.096495126641,528.356466449269,0.00206015835837245,0,0,0,0
"01037",12809.8480954335,12809.8480954335,31057.9871686418,0.121228032304484,31057.9871686418,0.121228032304484,41182.4252514689,102034.721627891,0.397587903441646,308620.32370574,758176.328136931,634.707805066175,1571.98580483304,0.00613141796194833,0,0,0,0
"01039",15177.8335582209,15177.8335582209,37527.2284956225,0.145756861605887,37527.2284956225,0.145756861605887,44481.0712597124,107466.760717742,0.418518978549818,325045.646078476,784716.22447871,905.745550248562,2350.12461794485,0.00905948895653188,0,0,0,0
"01041",5597.01346182338,5597.01346182338,14229.7065135983,0.056243414901344,14229.7065135983,0.056243414901344,12442.6960321745,30360.4889818094,0.118240130601955,86939.7265965257,214117.651922752,109.523526780366,266.272682175603,0.00104162688096402,0,0,0,0
"01043",199053.776106738,199053.776106738,480818.736742914,1.87768136697423,480818.736742914,1.87768136697423,601224.909678656,1458620.84846116,5.69397057413945,4363315.39926468,10572786.313551,9363.94389512626,22688.7253356796,0.0886182901482385,0,0,0,0
"01045",22157.3577243911,22157.3577243911,54807.0385233789,0.208321377413013,54807.0385233789,0.208321377413013,102729.48464261,262591.55585514,0.96018202569749,670530.609940054,1703273.04823699,1413.6467315105,3590.35178503841,0.0131927230860563,0,0,0,0
