"GEOID","IDC_loss","IDC_econ_loss","IDC_job_loss","grant_funds","grant_funds_econ","overlap_loss","overlap_econ_loss","overlap_job_loss","overlap_loss_noself","overlap_econ_loss_noself","overlap_job_loss_noself","terminated_econ_loss"
"1302",184196.4,471542.784,2.03305835848052,1589669,4069552.64,0,0,0,0,0,0,NA
"1304",8132.95000000001,20820.352,0.0897670202924933,1026700,2628352,0,0,0,0,0,0,NA
"1305",100435654.25,257115274.88,1108.55340474853,609147053,1559416455.68,0,0,0,0,0,0,110538294.2976
"1306",221504.35,567051.136,2.44484295136765,5446686,13943516.16,0,0,0,0,0,0,NA
"1307",268589.9,687590.144,2.96454730493347,2885153,7385991.68,0,0,0,0,0,0,NA
"1310",11380202,29133317.12,125.608398412221,68997769,176634288.64,0,0,0,0,0,0,9557379.456
"1311",284836.2,729180.672,3.14386501151939,5454965,13964710.4,0,0,0,0,0,0,1782424.7808
"1312",15720200.7,40243713.792,173.510912428942,74199203,189949959.68,0,0,0,0,0,0,9365913.2416
"1501",11686578.1,29917639.936,128.990008969993,68015985,174120921.6,0,0,0,0,0,0,30044245.4784
"1502",78941.55,202090.368,0.871313326747473,891129,2281290.24,0,0,0,0,0,0,NA
"1601",1733445.5,4437620.48,19.1328161828649,15175909,38850327.04,0,0,0,0,0,0,623225.6
"1602",1203882.8,3081939.968,13.2877949252588,8097698,20730106.88,0,0,0,0,0,0,NA
"1701",52567925.8,134573890.048,580.215796485024,333147920,852858675.2,0,0,0,0,0,0,34605377.6418655
"1702",96810,247833.6,1.06853543111863,542136,1387868.16,0,0,0,0,0,0,NA
"1704",153208.9,392214.784,1.69103540969643,857968,2196398.08,0,0,0,0,0,0,NA
"1705",3672018.3,9400366.848,40.5297144640636,36637711,93792540.16,0,0,0,0,0,0,459182.08
"1706",125948.35,322427.776,1.3901484812099,1455627,3726405.12,0,0,0,0,0,0,NA
"1707",54205688.65,138766562.944,598.292520304823,302508061,774420636.16,0,0,0,0,0,0,16039279.1296
"1708",58416.1,149545.216,0.644764720563671,339132,868177.92,0,0,0,0,0,0,NA
"1709",95319116.7,244016938.752,1052.07988283113,501223022,1283130936.32,0,0,0,0,0,0,104999520.202549
"1710",2207030.8,5649998.848,24.3599897466181,10662205,27295244.8,0,0,0,0,0,0,1218617.8816
