"state","state_code","FIPS","county","pop_2024","terminated_loss","terminated_loss_noself","terminated_econ_loss","terminated_job_loss","terminated_econ_loss_noself","terminated_job_loss_noself","IDC_loss","IDC_econ_loss","IDC_job_loss","grant_funds","grant_funds_econ","overlap_loss","overlap_econ_loss","overlap_job_loss","overlap_loss_noself","overlap_econ_loss_noself","overlap_job_loss_noself","combined_loss","combined_econ_loss","combined_job_loss","combined_loss_noself","terminated_loss_log","terminated_loss_noself_log","terminated_econ_loss_log","terminated_job_loss_log","terminated_econ_loss_noself_log","terminated_job_loss_noself_log","IDC_loss_log","IDC_econ_loss_log","IDC_job_loss_log","grant_funds_log","grant_funds_econ_log","combined_loss_log","combined_econ_loss_log","combined_job_loss_log","combined_loss_noself_log"
"Alabama","AL","01001","Autauga County",61464,191685.016542125,191685.016542125,516711.708229085,1.97939555439309,516711.708229085,1.97939555439309,1563223.05587335,4106410.45309494,15.9480991135218,8750740.30204261,22959682.6352295,14208.602631252,39809.6324437374,0.151250488810205,0,0,0,1740699.46978422,4623122.16132403,17.9274946679149,1754908.07241547,12.1636139818876,12.1636139818876,13.1552423089585,1.09172044584742,13.1552423089585,1.09172044584742,14.262260949017,15.2280600793084,2.83015568084267,15.9846489749787,16.9492503503673,14.3697981590231,15.3465810436114,2.94061560928428,14.3779276029504
"Alabama","AL","01003","Baldwin County",261608,852003.915766345,849477.628455347,2450186.85588187,9.35540712083826,2444483.0725708,9.33454777483217,6941304.81510064,19466276.4817816,73.9011164858041,39903152.2282873,111310751.340142,32590.6677479583,91432.4563646896,0.350463613051814,0,0,0,7760718.06311903,21910759.5543524,83.2356642606363,7790782.44355599,13.6553475754736,13.6523780619852,14.7116752554516,2.33750881042796,14.7093446453612,2.33549243550799,15.753000472579,16.7841941665563,4.3161687967646,17.5019659070154,18.5278364184093,15.8645855506395,16.9024884236279,4.43361839761032,15.868451983208
"Alabama","AL","01005","Barbour County",24358,8842.64412386395,8842.64412386395,21422.8592319752,0.0837336583685021,21422.8592319752,0.0837336583685021,105542.43102788,259261.736855861,1.04337088572236,751130.43611774,1844215.47809609,315.498067521978,780.491425603021,0.00306569745666629,0,0,0,114069.577084222,280684.596087836,1.12710454409086,114385.075151744,9.08745430189408,9.08745430189408,9.97226049733315,0.0804121702155396,9.97226049733315,0.0804121702155396,11.5668778156967,12.4655972545122,0.714600839115554,13.5293359302369,14.427565072139,11.644572633045,12.5449904467756,0.754761685969734,11.6473346298177
"Alabama","AL","01007","Bibb County",22258,35804.2025686404,35804.2025686404,90117.3671949678,0.350700044315804,90117.3671949678,0.350700044315804,425882.797888478,1121765.50736027,4.35016839256649,2595424.96576066,6811486.39282489,3528.53672038798,9215.63204300786,0.0357815247232255,0,0,0,458158.463736731,1211882.87455524,4.70086843688229,461687.000457119,10.4858484849768,10.4858484849768,11.4088792762614,0.30062300939409,11.4088792762614,0.30062300939409,12.961921813132,13.9304152394512,1.67712803565865,14.7692612097666,15.7341210673203,13.0349725765955,14.0076866279478,1.74061852058307,13.0426446182442
"Alabama","AL","01009","Blount County",60163,409083.607607354,409083.607607354,990727.8767152,3.85934235951061,990727.8767152,3.85934235951061,2276068.27189591,6263325.84557764,24.1587721319579,14108528.4861756,37794355.4470815,21704.3870523073,53431.4283072497,0.208071820822879,0,0,0,2663447.49245096,7254053.72229284,28.0181144914685,2685151.87950326,12.9216772781971,12.9216772781971,13.806196190326,1.58090311178311,13.806196190326,1.58090311178311,14.6379605095718,15.6502220468899,3.22520662825495,16.4622901005507,17.4476703491016,14.7951322668571,15.7970711425369,3.36792027261843,14.8032482226667
"Alabama","AL","01011","Bullock County",9901,5721.27787520691,5721.27787520691,14328.3236743349,0.0564400192318795,14328.3236743349,0.0564400192318795,43846.9276283419,106742.925880363,0.417619992922197,296455.677525356,726530.763131455,307.040252151509,846.421630119492,0.00340401506202346,0,0,0,49261.1652513973,121071.249554697,0.474060012154077,49568.2055035488,8.65212223503263,8.65212223503263,9.57006332322099,0.0549047833737077,9.57006332322099,0.0549047833737077,10.6884827362124,11.5781880290538,0.348979404128566,12.5996563738451,13.4960374817958,10.8049116262789,11.7041427501412,0.388020506747096,10.8111250631183
"Alabama","AL","01013","Butler County",18256,9315.08723847866,9315.08723847866,22448.3498287528,0.0876308085911864,22448.3498287528,0.0876308085911864,64124.678469338,180415.609829008,0.687797899316515,446812.365137194,1256426.05660098,353.882302009323,861.797995385896,0.00337259148137406,0,0,0,73085.8834058073,202863.959657761,0.775428707907701,73439.7657078167,9.13949799533122,9.13949799533122,10.0190169318937,0.0840017605092009,10.0190169318937,0.0840017605092009,11.0686001628356,12.1030239545952,0.523424661112749,13.0098962587495,14.0437825814362,11.1994041960647,12.2202958133039,0.574041919346575,11.2042344515447
"Alabama","AL","01015","Calhoun County",116427,195714.223013987,195714.223013987,485922.974435115,1.89896515386119,485922.974435115,1.89896515386119,1426068.20425509,3633886.38708946,13.8646460682834,9661014.11679841,24670928.8848242,14780.7464279289,37913.6309209056,0.147641160662066,0,0,0,1607001.68084115,4119809.36152457,15.7636112221446,1621782.42726908,12.1844159378601,12.1844159378601,13.0938074594425,1.0643538298125,13.0938074594425,1.0643538298125,14.170432409112,15.105813538765,2.69898564643121,16.0836092852224,17.021136180735,14.2898813129455,15.2313176915102,2.81921053855939,14.2990369827137
"Alabama","AL","01017","Chambers County",33813,117250.64126169,117250.64126169,319277.791758374,1.21214325841379,319277.791758374,1.21214325841379,798736.717577137,2037706.05130257,7.66013435753102,5000736.95292201,12721272.1914811,12828.0027421467,36274.7295325026,0.137088899859815,0,0,0,903159.356096681,2356983.84306094,8.87227761594482,915987.358838828,11.6720776841781,11.6720776841781,12.6738199554458,0.793961845764512,12.6738199554458,0.793961845764512,13.5907879075004,14.5273357392054,2.15873023718044,15.4250960500924,16.3587862045371,13.7136553981358,14.6728937512913,2.28973058831795,13.7277589348843
"Alabama","AL","01019","Cherokee County",26138,25526.7675687434,25526.7675687434,62956.0149037314,0.245548018499731,62956.0149037314,0.245548018499731,183664.238322738,476551.917060436,1.83884228074971,1169401.21832649,3018099.23097396,1870.67809994785,4782.08635444071,0.0186375259741309,0,0,0,207320.327791534,539507.931964167,2.08439029924944,209191.005891481,10.147522062963,10.147522062963,11.0502074693836,0.219575608569646,11.0502074693836,0.219575608569646,12.1208700226095,13.0743340495524,1.04339632143889,13.9720032517003,14.9201381288168,12.2420251768342,13.1984146195473,1.12635400387039,12.251007797687
