"state","state_code","FIPS","county","pop_2024","terminated_loss","terminated_loss_noself","terminated_econ_loss","terminated_job_loss","terminated_econ_loss_noself","terminated_job_loss_noself","IDC_loss","IDC_econ_loss","IDC_job_loss","grant_funds","grant_funds_econ","overlap_loss","overlap_econ_loss","overlap_job_loss","overlap_loss_noself","overlap_econ_loss_noself","overlap_job_loss_noself","combined_loss","combined_econ_loss","combined_job_loss","combined_loss_noself","terminated_loss_log","terminated_loss_noself_log","terminated_econ_loss_log","terminated_job_loss_log","terminated_econ_loss_noself_log","terminated_job_loss_noself_log","IDC_loss_log","IDC_econ_loss_log","IDC_job_loss_log","grant_funds_log","grant_funds_econ_log","combined_loss_log","combined_econ_loss_log","combined_job_loss_log","combined_loss_noself_log"
"Alabama","AL","01001","Autauga County",61464,59948.7942012503,59948.7942012503,144772.41381243,0.565153065059625,144772.41381243,0.565153065059625,179484.854769536,437396.602175837,1.70759134941844,1245232.25897561,3027019.50005489,2125.85645653628,5176.18698879843,0.0202374076585762,0,0,0,237307.79251425,582169.015988267,2.27274441447807,239433.648970786,11.0012627276099,11.0012627276099,11.8829251358083,0.447983624359425,11.8829251358083,0.447983624359425,12.097851680293,12.9885979052158,0.996059438721242,14.0348334269388,14.923089360381,12.377117494052,13.2745178077449,1.18562890340121,12.3860357941762
"Alabama","AL","01003","Baldwin County",261608,51396.435564439,51396.3908253199,125437.037367651,0.488557095051054,125436.8929104,0.48855654475989,387760.747131386,954090.194187354,3.70157954409397,2327694.47502049,5747637.33017736,2372.73193057452,5845.38491276068,0.0226112555323582,0,0,0,436784.45076525,1079527.08709775,4.19013608885386,439157.137956706,10.8473435584562,10.8473426880015,11.7395671894769,0.397807258179151,11.7395660378539,0.397806888498157,12.8681463762121,13.7685145372532,1.54789852546754,14.660389269578,15.5642996032163,12.9871973941705,13.8920345472162,1.64675991819315,12.9926148503285
"Alabama","AL","01005","Barbour County",24358,11472.8161221415,11472.8161221415,29457.2610193039,0.114418988514681,29457.2610193039,0.114418988514681,43435.0739193653,109573.443873127,0.41872425273758,266580.338451545,666640.121468305,392.912036026805,997.288890787913,0.00390088985522338,0,0,0,54514.97800548,139030.70489243,0.533143241252262,54907.8900415068,9.34782285942259,9.34782285942259,10.2907296597375,0.108333182565394,10.2907296597375,0.108333182565394,10.6790455711349,11.6043594499661,0.349758054232738,12.4934346859705,13.4100071313244,10.9062491120966,11.8424572788549,0.427320034045289,10.9134305459274
"Alabama","AL","01007","Bibb County",22258,23906.8872499488,23906.8872499488,57722.9206030792,0.22491672198046,57722.9206030792,0.22491672198046,84017.2117185817,204501.751706219,0.795746442595538,607162.579305949,1474929.04046021,1102.9688709299,2677.34979571283,0.0104289696257566,0,0,0,106821.130097601,262224.672309298,1.020663164576,107924.098968531,10.0819636939362,10.0819636939362,10.9634269350973,0.202872859629038,10.9634269350973,0.202872859629038,11.3387888605,12.2283367101506,0.585420780957607,13.3165535218844,14.2041211164347,11.5789203946948,12.4769607566907,0.70342575682974,11.5891927374354
"Alabama","AL","01009","Blount County",60163,414592.76530427,414592.76530427,998610.461297838,3.89760356826333,998610.461297838,3.89760356826333,1187325.15798262,2863563.14216246,11.173294001589,8759863.9235179,21120529.9948331,19210.6601515182,46288.2263029884,0.180646629416436,0,0,0,1582707.26313537,3862173.6034603,15.0708975698524,1601917.92328689,12.9350544410132,12.9350544410132,13.8141210543489,1.5887460177826,13.8141210543489,1.5887460177826,13.9872144108966,14.8675776104822,2.49924453607773,15.985691043104,16.8657561582871,14.2746480282185,15.1667409515805,2.77701003194525,14.2867127956461
"Alabama","AL","01011","Bullock County",9901,2890.09340343677,2890.09340343677,7028.75789731842,0.0274132617416199,7028.75789731842,0.0274132617416199,31748.3658953411,77401.3736713305,0.301932498654111,179893.629239954,437736.707203944,102.031095620594,257.563677112579,0.00100409820779486,0,0,0,34536.4282031572,84430.1315686489,0.329345760395731,34638.4592987778,7.96939004984338,7.96939004984338,8.85790754570791,0.0270442470284773,8.85790754570791,0.0270442470284773,10.3656280323211,11.2567727266958,0.263849698090731,12.1001265653515,12.989375167981,10.4497988904212,11.3436914700213,0.28468691172961,10.4527487533969
"Alabama","AL","01013","Butler County",18256,9802.05750693658,9802.05750693658,24576.6952833526,0.0967930161779025,24576.6952833526,0.0967930161779025,28042.2974704741,69042.0015781154,0.270512438317432,192190.244658447,472027.279233851,351.398907443468,875.97233948938,0.00343653893396817,0,0,0,37492.9560699672,93618.696861468,0.367305454495334,37844.3549774106,9.19044960650348,9.19044960650348,10.1095946148245,0.092390481793017,10.1095946148245,0.092390481793017,10.2415049330387,11.1424848007409,0.239420313826524,12.1662462211948,13.064794176404,10.5319350275014,11.4469960768812,0.312841981570414,10.5412635294697
"Alabama","AL","01015","Calhoun County",116427,181742.306002079,181742.306002079,438452.481814188,1.71199269044799,438452.481814188,1.71199269044799,535489.758615017,1298942.37538067,5.07786270612667,3930806.89226916,9521067.67886516,8523.53274478012,20637.0545016828,0.080635251065907,0,0,0,708708.531872316,1737394.85719485,6.78985539657466,717232.064617096,12.1103505639174,12.1103505639174,12.9910090003647,0.997683674811975,12.9910090003647,0.997683674811975,13.1909389112327,14.0770617037717,1.80465310557983,15.1843555332707,16.0690176566506,13.4712010345066,14.3678979163196,2.05282229701135,13.4831561220167
"Alabama","AL","01017","Chambers County",33813,40287.8937161412,40287.8937161412,97874.201285935,0.380962326594908,97874.201285935,0.380962326594908,185768.221475001,461927.283908693,1.78394014098266,1203803.84513544,2991975.68198491,1526.32779852481,3816.89023552465,0.0147253549512235,0,0,0,224529.787392617,559801.485194628,2.16490246757757,226056.115191142,10.6038311197826,10.6038311197826,11.4914484898523,0.322780594254119,11.4914484898523,0.322780594254119,12.1322604375762,13.0431649283796,1.02386724115721,14.0009978029552,14.9114448245919,12.3217681143683,13.2353392954867,1.15212223919006,12.3285429684103
"Alabama","AL","01019","Cherokee County",26138,28101.6885921593,28101.6885921593,67729.1798150692,0.264345674742493,67729.1798150692,0.264345674742493,83041.9354632572,201018.767093406,0.784411916437637,610566.809895175,1476414.61919805,1312.7753135539,3171.47712563244,0.0123815672500886,0,0,0,109830.848741863,268747.946908475,1.04875759118013,111143.624055416,10.2436205301811,10.2436205301811,11.1232871470861,0.234554735189925,11.1232871470861,0.234554735189925,11.327113047766,12.2111585259541,0.579088902369847,13.3221446390841,14.2051278293275,11.6067058273992,12.5015329399362,0.717233556343049,11.6185875516497
"Alabama","AL","01021","Chilton County",47262,124971.272960637,124971.272960637,301199.874966015,1.1757616443051,301199.874966015,1.1757616443051,362789.023572775,878197.049766181,3.42791343378222,2661800.13306281,6435300.64173868,5678.84971175563,13725.7048823449,0.0536092523702695,0,0,0,482081.446821656,1179396.9247322,4.60367507808732,487760.296533412,11.7358471753647,11.7358471753647,12.6155326798373,0.777378784531191,12.6155326798373,0.777378784531191,12.8015794984238,13.6856274163901,1.48792846492228,14.7945135693099,15.6773092730868,13.0858704299023,13.9805146329508,1.72342264643825,13.0975814187162
"Alabama","AL","01023","Choctaw County",12052,4797.74697194272,4797.74697194272,11842.7303660196,0.0461407940573212,11842.7303660196,0.0461407940573212,20204.372141891,50626.1224230291,0.197933968820105,132387.095497782,330859.516164267,183.159543619597,446.235229872836,0.00174391749929207,0,0,0,24818.9595702141,62468.8527890487,0.244074762877426,25002.1191138337,8.47611011530522,8.47611011530522,9.37955392351314,0.0451079589339033,9.37955392351314,0.0451079589339033,9.91370379564986,10.8322427279355,0.18059838032789,11.7934930052839,12.7094521642283,10.1194034298376,11.0424393639785,0.218392091287195,10.1267558606212
"Alabama","AL","01025","Clarke County",22142,5181.16165564074,5181.16165564074,12515.0804308598,0.0487981479082183,12515.0804308598,0.0487981479082183,25972.8443368387,64125.649853675,0.248800552019427,167845.648696556,413773.845288732,254.987472449099,624.968185057902,0.00242185501565785,0,0,0,30899.0185200303,76640.7302845349,0.297598699927646,31154.0059924794,8.5529775562435,8.5529775562435,9.43476953101132,0.0476448875506701,9.43476953101132,0.0476448875506701,10.1648453236144,11.0686153108544,0.222183532258888,12.0308060361472,12.9330772529067,10.3385120622394,11.2468969891714,0.260515402473181,10.3467302173224
"Alabama","AL","01027","Clay County",14239,11245.3948572328,11245.3948572328,27328.6045524277,0.106839407582186,27328.6045524277,0.106839407582186,40471.0743660537,100920.886260514,0.395667806195117,283837.753039341,704027.33158569,604.66537506573,1508.72787302488,0.00592752160673098,0,0,0,51111.8038482208,128249.490812942,0.502507213777303,51716.4692232865,9.32780289914035,9.32780289914035,10.2157258094588,0.101508573268048,10.2157258094588,0.101508573268048,10.6083674934393,11.5221020932315,0.333373014844644,12.5561615849121,13.4645738780601,10.8417903093502,11.7617405900272,0.407135188598597,10.8535508994242
