"FIPS","terminated_loss","terminated_loss_noself","terminated_econ_loss","terminated_job_loss","terminated_econ_loss_noself","terminated_job_loss_noself","IDC_loss","IDC_econ_loss","IDC_job_loss","grant_funds","grant_funds_econ","overlap_loss","overlap_econ_loss","overlap_job_loss","overlap_loss_noself","overlap_econ_loss_noself","overlap_job_loss_noself","state_FIPS","combined_loss","combined_econ_loss","combined_job_loss","combined_loss_noself","terminated_loss_log","terminated_loss_noself_log","terminated_econ_loss_log","terminated_job_loss_log","terminated_econ_loss_noself_log","terminated_job_loss_noself_log","IDC_loss_log","IDC_econ_loss_log","IDC_job_loss_log","grant_funds_log","grant_funds_econ_log","combined_loss_log","combined_econ_loss_log","combined_job_loss_log","combined_loss_noself_log"
"40121",6721.58676895162,6721.58676895162,17207.2621285161,0.0754440091274096,20082.3379354751,0.0754440091274096,39081.286902083,100048.094469333,0.416457571174213,222825.214520667,635143.016074204,597.411689960717,1529.37392629944,0.00642374701495332,0,0,0,"40",45205.4619810739,120130.432404808,0.491901580301622,45802.8736710346,8.81322829530429,8.81322829530429,9.75314490377646,0.0727336080519217,9.90764579183705,0.0727336080519217,10.5734246229216,11.5134162891896,0.348159086556531,12.3141474395424,13.3616070491275,10.718995319785,11.6963416924336,0.400051534660493,10.7321239444959
"40123",1800.62727212786,1800.62727212786,4609.60581664732,0.0192667118117681,5139.55400932597,0.0192667118117681,12451.4726686392,31875.7700317165,0.133337469581565,86051.6603198903,245955.860853472,76.4706548569769,195.764876433861,0.000818236006969653,0,0,0,"40",14175.6292859101,37015.3240410424,0.152604181393333,14252.0999407671,7.49644557555718,7.49644557555718,8.43611454094613,0.0190834587680128,8.5449161365565,0.0190834587680128,9.42967449009574,10.3696328113258,0.125166792578138,11.3627147171396,12.4129114371525,9.55935006279571,10.519114284629,0.142023887806086,9.56472970174142
"40125",21326.984222785,21271.9852359973,54597.0796103295,0.228320379330162,60755.2844248354,0.227753889766248,375664.012603217,961699.872264235,4.0198618106191,2461219.87778215,7028710.46025133,5279.9841744405,13516.7594865677,0.0564021955451195,0,0,0,"40",391711.012651561,1022455.15668907,4.24761570038534,396935.997839214,9.96777530267633,9.96519324794645,10.9077539891425,0.205647690917713,11.0146258031749,0.205186394139283,12.8364531013358,13.7764587377026,1.61340240555962,14.7161680765779,15.7655139554152,12.8782821871734,13.8377182874361,1.65777382113759,12.8915328514567
"40127",361.401469054563,361.401469054563,925.187760779682,0.00360445719456292,1001.53012483883,0.00360445719456292,2917.47976304342,7468.74819339117,0.0303046064056459,18530.5458366689,52271.2632346386,9.51643665872977,24.3620778463482,0.0000885028609261869,0,0,0,"40",3269.36479543926,8470.27831823,0.0339090636002088,3278.88123209799,5.89275262784318,5.89275262784318,6.83107697951287,0.00359797670648847,6.91028220844379,0.00359797670648847,7.97881813059322,8.91861656850799,0.0298544928951673,9.82722973925744,10.8642211696913,8.09265681590745,9.04443669930795,0.0333468259907033,8.09556249099638
"40129",362.163098236776,362.163098236776,927.137531486146,0.0038751451511335,1033.72687528669,0.0038751451511335,628.902064383715,1609.98928482231,0.00658488562195869,4495.61044500446,12674.3506497607,0,0,0,0,0,0,"40",991.065162620491,2643.71616010901,0.0104600307730922,991.065162620491,5.89485203979434,5.89485203979434,6.83317992383785,0.00386765611732265,6.94189278226285,0.00386765611732265,6.44556435394227,7.3846037318962,0.00656329997018034,8.41107915749136,9.44741449275213,6.899788793253,7.88031902666602,0.0104057031684182,6.899788793253
"40131",16735.8003686116,16735.8003686116,42843.6489436457,0.178566331297219,47788.5767641078,0.178566331297219,294411.541725038,753693.546816098,3.14692789422323,1632059.141893,4660976.94541965,1298.76307162352,3324.83346335622,0.0138802262579526,0,0,0,"40",309848.579022026,801482.123580205,3.32549422552045,311147.34209365,9.72536518889346,9.72536518889346,10.6653360374332,0.164298726321988,10.7745628353729,0.164298726321988,12.5927372658977,13.5327424545873,1.42236779365787,14.3053536654773,15.3547358436165,12.6438422297385,13.5942191947654,1.46452640565195,12.6480250616645
"40133",4050.44749360893,4050.44749360893,10369.1455836389,0.0439701410216583,11708.8136981414,0.0439701410216583,73784.2671603187,188887.723930416,0.792987422569947,411187.628059008,1178532.21265007,1100.06997549421,2816.17913726518,0.0118370990166509,0,0,0,"40",76734.6446784334,200596.537628557,0.836957563591605,77834.7146539276,8.3068295020757,8.3068295020757,9.24668634004874,0.0430308884974763,9.36818254682741,0.0430308884974763,11.2089143586854,12.1489133583803,0.583883179857705,12.9268073372421,13.9797811830996,11.2481216079349,12.2090558794025,0.608110705036166,11.2623556620804
"40135",12560.3295266951,12560.3295266951,32154.4435883394,0.137011413585388,36598.7378969043,0.137011413585388,25031.4818959809,64080.5936537111,0.252261262302298,243341.167576817,679068.369063734,145.996685260708,373.751514267412,0.00153931393363066,0,0,0,"40",37445.8147374152,100679.331550615,0.389272675887686,37591.8114226759,9.43837828845628,9.43837828845628,10.3783370337884,0.12840325305169,10.507796358077,0.12840325305169,10.1279295363611,11.067912451185,0.224950926868409,12.4022238289077,13.4284785648921,10.5306769315875,11.5197057423568,0.328780355439996,10.5345681255326
"40137",2911.73086516409,2911.73086516409,7454.03101482006,0.0311506468934304,8310.46526025012,0.0311506468934304,34153.1865732842,87432.1576276075,0.364550853896075,258503.873893229,737818.058353571,401.470937999129,1027.76560127777,0.00429573903659068,0,0,0,"40",36663.4465004491,95742.6228878576,0.395701500789505,37064.9174384483,7.97684636174162,7.97684636174162,8.91664438746115,0.0306753116191554,9.02539119724593,0.0306753116191554,10.438640451139,11.3786298675883,0.310825329725036,12.4626698272721,13.5114538951388,10.5095628042855,11.4694293031315,0.33339715682708,10.5204531589347
"40139",921.38872278799,921.36311766732,2358.75513033726,0.0111939821289463,2942.40731770416,0.011193667185962,11717.4618481342,29996.7023312236,0.136361681001706,60462.2163026748,186176.171149433,51.5121848342929,131.87119317579,0.000633599873461803,0,0,0,"40",12587.3383860879,32939.1096489278,0.147555348187669,12638.8249658015,6.82696674293474,6.82693898297255,7.76631313430472,0.0111317931753288,7.98732314086681,0.011131481718735,9.36892081289129,10.308876068752,0.127831650789906,11.0097904641179,12.1344540323851,9.44052613946328,10.4024463324731,0.137633895504099,9.44460781996269
