"org_name","lat","lon","terminated_loss","terminated_num","terminated_loss_noself","terminated_num_noself"
"University of Denver (Colorado Seminary)",39.676639,-104.959481,954683.4,1,954683.4,1
"Denver Health and Hospital Authority",39.727302,-104.991569,138989.95,1,138989.95,1
"Children's Hospital of Philadelphia",39.946632,-75.196604,656902.172857143,5,656902.172857143,5
"University of Pennsylvania",39.953462,-75.193983,12245229.9808791,24,12245229.9808791,23
"Drexel University",39.954073,-75.186541,5517163.43,5,5517163.43,5
"Temple University of the Commonwealth",39.980272,-75.157051,1461393.98131868,4,1461393.98131868,3
"Ohio State University",39.999598,-83.033131,8630913.45,12,8630913.45,12
"University of Illinois at Urbana-Champaign",40.116857,-88.228755,33786.83,1,33786.83,1
"Pennsylvania State University Hershey Medical Center",40.264414,-76.674014,4770674.4,5,4770674.4,5
"Princeton University",40.345441,-74.655866,165078.49,4,136793.59,2
"Purdue University",40.41872,-86.910361,281859.67,4,281859.67,3
"Duquesne University",40.437818,-79.993649,92040.95,1,92040.95,1
"University of Pittsburgh at Pittsburgh",40.440909,-79.959125,12653603.13,26,12469748.59,22
"New York University School of Medicine",40.669895,-73.974354,5106581.75,12,5106581.75,10
"New York University",40.729659,-73.997018,2195132.94,6,2195132.94,5
"New School University",40.735382,-73.997241,26705.17,1,26705.17,1
"Ecohealth Alliance, Inc.",40.754061,-73.998951,5716314.4,4,0,0
"Sloan-Kettering Inst Can Research",40.764045,-73.956024,116261,2,116261,1
"University of Utah",40.764542,-111.850317,1852239.23,10,1852239.23,9
"New York Blood Center",40.76519,-73.959922,432943.36,2,432943.36,2
"Hunter College",40.768737,-73.965182,384160.52,1,384160.52,1
"Icahn School of Medicine at Mount Sinai",40.790284,-73.946781,6824712.54,13,6824712.54,10
"University of Nebraska Lincoln",40.823017,-96.673442,529795.06,2,529795.06,2
"Albert Einstein College of Medicine",40.85103,-73.844379,2199501.02,13,2199501.02,13
"Silverbills Inc.",40.946852,-73.772045,114680.93,1,114680.93,1
"Yale University",41.310925,-72.926428,10807943.19,27,10807943.19,25
"Pro-Change Behavior Systems, Inc.",41.451027,-71.497523,82363.25,1,82363.25,1
"Case Western Reserve University",41.502739,-81.607334,3066873.68,8,3066873.68,7
"University of Iowa",41.664405,-91.542152,630579.657027027,7,630579.657027027,5
"National Opinion Research Center",41.785875,-87.597545,154721.84,1,154721.84,1
"University of Chicago",41.789554,-87.601172,7912248.44135371,12,7912248.44135371,12
"Emma Pendleton Bradley Hospital",41.792379,-71.367401,324439.17,2,324439.17,2
"Resilient Games Studio, LLC",41.798959,-87.598077,84777.53,1,84777.53,1
"University of Connecticut Storrs",41.811419,-72.247553,390225.907899706,5,390225.907899706,5
"Rhode Island Hospital",41.811681,-71.409371,517909.65,4,517909.65,2
"Brown University",41.826136,-71.404513,243915880.64,193,243915880.64,191
"University of Illinois at Chicago",41.871509,-87.667721,4094968.89,6,4094968.89,6
"Rush University Medical Center",41.87506,-87.668327,1794916.95,3,1794916.95,3
"Lurie Children's Hospital of Chicago",41.896663,-87.622919,179368,1,179368,1
"Endeavor Health Clinical Operations",42.064695,-87.689868,1380567.55,1,1380567.55,1
"Eastern Michigan University",42.233132,-83.623767,952548.23,1,952548.23,1
"University of Michigan at Ann Arbor",42.275494,-83.743038,19728486.6835165,28,19728486.6835165,24
"Harvard School of Public Health",42.335306,-71.102775,579977633.99,148,570076825.84,145
"Boston Medical Center",42.336854,-71.070881,171615.54,2,171615.54,2
"Boston College",42.336956,-71.170504,3376275.21,5,3376275.21,4
"Boston Children's Hospital",42.337481,-71.104964,4067789.91164835,11,4067789.91164835,10
"Beth Israel Deaconess Medical Center",42.33982,-71.10568,474125.39,3,474125.39,3
"Northeastern University",42.340048,-71.088892,1129966.36,4,1129966.36,4
"Broad Institute, Inc.",42.363082,-71.087893,4165026.45,1,4165026.45,1
"Massachusetts General Hospital",42.363198,-71.068772,3751994.60746479,15,3751994.60746479,15
"Harvard University",42.369697,-71.11193,178483947.68,135,176990239.44,131
"Cambridge Health Alliance",42.374417,-71.104436,498842.92,1,498842.92,1
"University of Massachusetts Amherst",42.386914,-72.521131,264802.89,1,264802.89,1
