<<<<<<< HEAD
"FIPS","static_IDC_loss","IDC_econ_loss"
"01073",110853601.970097,71223216.9191879
"01081",4087099.22709703,3634522.79431241
"01087",3077682.05596897,1497593.58462978
"01089",2407149.08902182,3031546.37036423
"01097",3765017.68165922,3583775.70509424
"01101",43721.4004733105,1659484.92104851
"01117",374789.627622929,14863704.3427953
"01125",3333841.80126216,4685899.1171895
"02020",257722.050675676,935775.460998691
"02050",0,427.368733514526
"02090",4811055.83141892,3957436.39595621
"02220",251846.276689189,193618.89745898
"04001",0,123623.002183024
"04005",5566169.33483193,4377176.10024119
"04013",66490616.2226891,67476468.275381
"04017",0,291868.694982894
"04019",81667343.1850227,73622752.4218776
"04023",0,500327.457344028
"04027",0,811946.414137416
"05019",0,101749.800938421
"05031",251009.223140496,386281.017546793
"05119",39976718.9743802,24844668.2969037
"05143",5757705.03966942,5023665.84813053
"06001",138162362.575441,174060205.357989
"06013",1550469.70528237,88829298.4837799
"06017",0,3269260.17559844
"06019",341695.919861777,7520112.94493358
"06023",87149.5408747646,247878.216324174
"06029",0,3176244.43369208
"06037",582632367.834601,537883070.902833
"06041",20776110.7954107,31654454.0400248
"06047",3620258.56381744,4272915.78989277
"06053",0,9981479.78923169
"06055",422171.414820135,3917610.18913666
"06059",120984545.020293,113371871.246287
"06065",20691214.5394343,43183844.2847824
"06067",984847.196505601,49179774.8042644
"06071",5368430.75670828,42566525.9436693
"06073",566908083.430273,544440785.840528
"06075",417468292.703555,204763638.152712
"06077",283875.015091922,15721931.3556816
"06079",186966.870858652,2164296.83353457
"06081",17722635.6130531,162766915.769994
"06083",11475818.9618683,9389190.13769729
"06085",316371202.524848,157749859.122274
"06087",19936218.759861,23587207.4168498
"06095",173864.674807323,32686768.9146179
"06097",88222.1506086079,17758720.4589955
"06111",579045.817367164,15892503.3832997
"06113",140534566.460539,51569486.6083032
"08001",160482656.332481,20884800.2510331
"08005",0,47662142.5257188
"08013",34700556.4494395,22628522.512821
"08014",573712.971947777,4030647.44969267
"08031",21878459.3791461,61066641.3799023
"08035",78953.0943013409,13017703.8691357
"08037",624794.373588567,633510.917997397
"08041",195345.354710656,10638218.3728903
"08049",0,43010.1680871828
"08059",2888392.85162315,22329083.5599843
"08067",84209.5977417078,248898.428498822
"08069",22379069.9920309,25613211.0409349
"08123",366033.016407904,10549924.5054818
"09110",48858402.014243,58952472.9646546
"09120",1485825.79068895,26597569.5705414
"09130",802104.610397864,16260491.0776137
"09140",296935.029236049,39551367.8608245
"09150",0,4626723.95557499
"09170",327965870.583335,198227182.912303
"09190",604961.191566035,24221629.9870006
"10001",3133764.34387356,3771135.02398532
"10003",24968835.1690476,26593876.8230794
"10005",56410.5766666667,1262496.81216191
"11001",626232.545260844,7813347.91419626
"12001",162181857.755767,113719332.471825
"12009",550568.061486253,1856550.40863483
"12011",2666774.27044912,19622809.2658044
"12031",26539978.2858622,22140230.9412771
"12033",764596.263085241,913694.160673312
"12057",88319591.4809617,61214021.4579639
"12071",605290.233492465,1935390.31416033
"12073",31986965.6202979,26120820.6654683
"12081",1668528.5216266,2774767.19470178
"12085",0,1257738.39455176
"12086",113531256.193414,96498975.4766546
"12095",10591362.6689865,8447295.71208663
"12099",11643725.6713735,11258960.0482664
"12105",0,2302767.31356288
"12117",0,3798442.64769365
"13021",486665.982168859,1263459.35616794
"13031",191259.448716311,289187.331549279
"13059",32167193.0813131,10562691.8100817
"13067",1035471.17445395,23832432.8939358
"13073",166256.237680419,11349062.5121989
"13089",240175808.674211,101358294.551216
"13095",48254.1034614893,265529.576748979
"13121",52719585.4160685,66601164.659875
"13245",45295119.7862307,18765000.4320041
"15001",219958.799554896,1002864.5753011
"15003",32562898.6228487,30886111.318563
"16001",4924463.79702128,5030221.84011944
"16005",818313.304255319,784815.316126079
"16027",0,681500.418135211
"16057",8149648.53404255,6511213.48607163
"16069",119255.319148936,829228.666671476
"17019",44972731.0453776,31234102.8849107
"17029",29078.8910844507,913539.072119956
"17031",583552481.450608,488720294.747567
"17037",350167.26031522,743860.464691151
"17043",1192305.58295334,28313155.1561118
"17077",178557.946788991,130593.069765696
"17097",6343899.40550459,21371752.012501
"17113",865744.599600094,1749357.08629321
"17115",104720.886920725,809416.029173817
"17119",180897.984474241,7095318.71343061
"17137",374439.633686191,682380.368152141
"17167",1125110.7371442,1799375.73463498
"17197",0,14505103.9518491
"18011",268956.679156449,3513509.55428326
"18035",584714.236390387,1550431.74694688
"18085",495932.98440412,521408.789638189
"18089",81156.861598823,12089369.1524286
"18097",127403620.838058,65556873.264693
"18105",26274569.1005395,17217547.9875995
"18127",83582.3207454635,2876991.89661247
"18141",12674555.6480628,11647114.8834714
"18157",34517101.6733693,24485066.2810182
"18167",0,983439.050867862
"19103",85715440.6604737,56811752.575766
"19153",262921.129055912,2471941.79138217
"19163",0,1573985.04751788
"19169",8018105.45834097,3604544.29572474
"20045",10799331.1876333,7430756.48075342
"20051",12909.3375977257,119450.110962583
"20091",48031065.5133618,30600376.8776952
"20161",5727150.21968728,2891853.95347856
"20173",62350.7263681592,1548705.88359218
"20209",70506.3539445629,3567939.4608569
"21037",355376.739461308,5846897.52975892
"21067",73625181.5084368,39622283.526941
"21093",0,709339.509434933
"21111",37436886.7333903,32529156.7461358
"21113",366651.182043608,3389083.91879256
"21185",863200.888413852,2280101.16488987
"21195",216485.693373236,366623.043466858
"21227",232608.828559213,933364.16577865
"22017",8068100.11080007,5803002.68863655
"22033",18463400.2504969,12832301.7606612
"22055",400830.797633696,858887.388808171
"22061",0,74703.3142222745
"22071",58165108.7959773,31632127.0815977
"22073",41216.2801703739,316484.650727914
"23001",90110.3211538461,950161.077167459
"23005",8493194.75384615,8628221.35471462
"23009",49876973.4211538,40174131.307243
"23015",160157.037179487,436143.726922571
"23019",1297918.55833333,4911372.71273204
"23031",2013025.73846154,3531020.12663702
"24003",0,26225367.1584892
"24005",3168989.41359319,150286454.480957
"24021",510289.681509806,6062788.21633852
"24027",3048962.99691625,34825938.789714
"24031",16549510.6527802,30135338.7824694
"24033",22882625.0346614,19373296.1402708
"24039",216157.463920069,378312.804848464
"24045",0,1726096.37143947
"24510",422024103.703466,149412075.694265
"25001",3040514.16484763,10232207.6816487
"25005",555872.032133977,36359230.4492445
"25009",1409614.71891986,85342586.2834912
"25013",1697782.32534116,14897459.9873925
"25015",17795094.0090465,11109238.0448391
"25017",205367747.946857,431882926.967457
"25021",8901150.49548864,219767752.479017
"25023",149559.338238434,62815465.5808845
"25025",1027213148.75712,346092011.980411
"25027",96395526.7729024,86522526.6683889
"26005",89518.1916641975,1224856.82810254
"26049",311794.37037037,11112251.7031471
"26061",2005193.32311111,1692381.14992488
"26065",49767082.2946555,28209375.7329644
"26073",645705.101254321,750310.170510082
"26077",1612227.21753086,3125202.26736666
"26081",21883426.4174716,18101056.2872762
"26099",0,11383078.841858
"26103",0,251757.527869251
"26121",39984.0791209876,1107413.47035879
"26125",4029614.47271111,41776417.6915208
"26139",110590.421274074,3838385.7348764
"26149",64712.0343506173,332279.313466235
"26155",70702.2886320988,2215081.81421837
"26161",336991000.575279,182518493.096688
"26163",38440247.4414831,73879926.0360841
"27017",0,206299.370191633
"27053",178164809.369323,84258866.1380135
"27109",141951663.593909,100012838.193845
"27123",2184824.53045302,38578270.9687718
"27137",734521.711017897,1493503.23059734
"27163",239772.564932886,9349931.84793699
"27171",47286.4883738814,1962242.50141734
"28035",1001837.02769231,571676.82589211
"28049",20794150.3207692,8352848.59413162
"28071",3349919.15846154,2190451.00849503
"28089",71633.4176923077,3942699.7100191
"28105",1548587.38461538,932975.830261499
"28151",237289.436923077,243295.972114117
"29019",33480931.1539707,21708726.8765405
"29077",194610.692102928,1116869.49269457
"29095",11587521.5058341,16263622.7441649
"29161",213392.511024845,230677.891245603
"29189",279090824.492169,151800128.63054
"29510",15388475.4396613,75011620.192403
"30005",0,11037.9180522679
"30013",2926065.02234694,2652100.88116049
"30031",4045094.31857143,3103032.49661317
"30035",0,14071.2060805368
"30047",0,99185.5681848644
"30049",0,492738.273781691
"30063",5806052.81816326,4712889.18945116
"30111",0,161438.627608348
"31019",128691.338674436,316965.408116858
"31055",56835462.1901361,41489073.4646818
"31109",10979402.7294974,10382182.2523156
"32003",8740415.71804281,9979651.46054899
"32031",19084295.7678899,17271638.7524829
"33005",170708.912878788,4061024.4249711
"33009",61904671.6340192,28647940.8775666
"33011",252210.585227273,12527397.0079792
"33013",22173.3228409091,4003853.50256975
"33015",0,12109078.6412999
"33017",3362216.92049242,2766382.79316747
"34003",13396296.3346087,56573678.0021949
"34007",9459408.74778716,37988142.3038455
"34013",11446660.8033078,17535776.3612844
"34015",3604046.49545791,19097678.0663847
"34017",1329928.94213774,32171194.99662
"34019",188186.323525056,3707611.99725882
"34021",44238385.7434954,32862752.9493782
"34023",147330328.38193,81807286.892115
"34027",919929.579566608,8399654.47910767
"34035",1464795.84680326,30459778.9033919
"34039",975072.786571217,18942851.4532462
"35001",44172437.1612469,35656198.528119
"35013",2029173.44193154,2206301.93095427
"35043",30708.7514669927,3878372.07395738
"36001",18057083.176021,11023522.4216366
"36005",90929618.0465038,218766144.954967
"36007",5848433.35946563,6229206.42823345
"36027",119552.76130887,8618056.79337521
"36029",62915164.5575548,46971078.7057783
"36033",0,324008.078821313
"36047",208125755.096684,287983525.441652
"36055",83759584.810197,68782064.7903059
"36059",54545014.9908514,79565628.0217682
"36061",952188714.139768,247345896.351099
"36065",1720627.28999746,2714113.4614826
"36067",17220172.7117781,13739589.0583661
"36075",253273.586420901,1577525.22809546
"36079",74574.9881457682,3669918.37575875
"36081",4350631.65556777,201321278.917674
"36083",3621010.45472225,5705579.45435028
"36085",441962.066289,34437424.2439161
"36087",7760502.03343198,17837635.6623755
"36089",787282.445945718,1073832.20440999
"36091",1267285.48911812,4141612.06833899
"36093",1069756.69584848,3740657.45892174
"36097",70908.7984026252,1903539.47951769
"36103",37648013.4570221,71257086.4289885
"36107",119443.223133508,4157038.78186127
"36109",51907434.8951552,37983585.391744
"36119",8804933.29838617,62161053.7442393
"37001",234949.562743609,21437675.1683934
"37021",37813.7260187294,1707392.79180857
"37025",0,2505517.78820071
"37037",195552.071045305,23355927.8071193
"37051",0,3252723.94608913
"37063",326720799.498634,173087747.01468
"37067",59796148.1147304,28158717.4122254
"37081",4180917.72126044,15459432.3063687
"37109",461009.328600354,924882.195950407
"37119",4948501.66006074,16755093.8557683
"37129",6219235.45120223,5855431.91104985
"37135",213311721.21225,117007967.932915
"37147",3323046.11878006,3665388.82470277
"37155",0,1743843.91724877
"37179",0,2368975.03008819
"37183",20065683.3778031,120326931.556644
"37189",223778.450518856,383405.648856323
"37197",0,1026705.03694106
"38017",5591125.85877551,3849998.33114582
"38035",6352023.3722449,4778155.45630757
"39005",49286.3675205413,369451.88435607
"39009",1721930.7981827,1221615.78497893
"39017",2097790.37362977,12663641.5514416
"39035",177715991.295041,130743592.354734
"39049",167612098.396433,117645662.571291
"39057",2628082.25724505,1796017.99463965
"39061",123386950.192363,77861245.6900063
"39089",28468.5515321411,5087640.98064674
"39095",6996048.42517158,8647887.10351795
"39113",779906.132895118,4324208.93389072
"39133",6865609.19493475,5887074.68468826
"39153",550998.813726438,12961395.863038
"39159",0,2948473.68253746
"39169",0,850223.389113693
"39173",245690.865152247,1639219.54701321
"40021",0,164557.191912693
"40027",4493898.47578275,11219509.1648763
