"FIPS","org_name","IDC_loss","IDC_econ_loss","IDC_job_loss"
"0","0",0,0,0
"0","SISTEMA UNIVERSITARIO ANA G. MENDEZ, INCORPORADO",0,0,0
"0","UNIVERSITY OF PR CAYEY UNIVERSITY COLL",0,0,0
"01001","UNIVERSITY OF ALABAMA AT BIRMINGHAM",97388.0973141729,234545.77525651,0.915448114753225
"01001","TUSKEGEE UNIVERSITY",23338.0358094768,56206.4343883771,0.219377536609082
"01001","AUBURN UNIVERSITY AT AUBURN",9073.61349453978,21852.544306203,0.085291966848674
"01001","NORTHEASTERN UNIVERSITY",4544.7981812933,10198.9906913902,0.0372673450866051
"01001","UNIVERSITY OF SOUTH ALABAMA",3298.88277717976,7944.90332794884,0.0310094981054898
"01003","UNIVERSITY OF SOUTH ALABAMA",204530.732185145,492584.006332828,1.92258888254037
"01003","UNIVERSITY OF ALABAMA AT BIRMINGHAM",111892.707552454,269478.124762799,1.05179145099307
"01003","TULANE UNIVERSITY OF LOUISIANA",10564.9924685395,29029.9793054142,0.110932420919664
"01003","VANDERBILT UNIVERSITY MEDICAL CENTER",8154.39038711353,21900.1066040424,0.0848056600259808
"01003","AUBURN UNIVERSITY AT AUBURN",5184.92199687988,12487.1681749731,0.0487382667706708
"01005","UNIVERSITY OF ALABAMA AT BIRMINGHAM",24865.0461227676,59884.0277250665,0.233731433554015
"01005","AUBURN UNIVERSITY AT AUBURN",6481.15249609984,15608.9602187164,0.0609228334633386
"01005","TUSKEGEE UNIVERSITY",3784.54634748273,9114.55692784493,0.0355747356663376
"01005","AUGUSTA UNIVERSITY",909.292392001399,2640.65293454385,0.0107296502256165
"01005","GEORGIA STATE UNIVERSITY",464.962749613693,1350.28650852177,0.00548656044544158
"01007","UNIVERSITY OF ALABAMA AT BIRMINGHAM",60090.5281300216,144719.733668911,0.564850964422203
"01007","UNIVERSITY OF ALABAMA IN TUSCALOOSA",14790.0056398962,35619.6848950326,0.139026053015024
"01007","EMORY UNIVERSITY",3253.08974151219,9447.21527181266,0.0383864589498439
"01007","UNIVERSITY OF LOUISVILLE",1391.03579724409,3608.72390665975,0.0123802185954724
"01007","CFD RESEARCH CORPORATION",1175.82769535114,2831.81852793086,0.0110527803363007
"01009","UNIVERSITY OF ALABAMA AT BIRMINGHAM",998746.019264496,2405341.78029017,9.38821258108626
"01009","SOUTHERN RESEARCH INSTITUTE",13508.0428079519,32532.2545564111,0.126975602394748
"01009","EMORY UNIVERSITY",9759.26922453657,28341.645815438,0.115159376849532
"01009","CFD RESEARCH CORPORATION",5291.22462908012,12743.1833756889,0.0497375115133531
"01009","VANDERBILT UNIVERSITY MEDICAL CENTER",4077.19519355677,10950.0533020212,0.0424028300129904
"01011","TUSKEGEE UNIVERSITY",13876.66994077,33420.0420687647,0.130440697443238
"01011","UNIVERSITY OF ALABAMA AT BIRMINGHAM",8288.34870758918,19961.3425750222,0.0779104778513383
"01011","AUBURN UNIVERSITY AT AUBURN",6481.15249609984,15608.9602187164,0.0609228334633386
"01011","SOUTHERN RESEARCH INSTITUTE",112.099940314953,269.977216235777,0.00105373943896056
"01011","UNIVERSITY OF ALABAMA IN TUSCALOOSA",106.402918272634,256.256725863544,0.00100018743176276
"01013","UNIVERSITY OF ALABAMA AT BIRMINGHAM",22792.9589458703,54893.692081311,0.21425381409118
"01013","AUBURN UNIVERSITY AT AUBURN",3888.69149765991,9365.37613122984,0.0365537000780031
"01013","TULANE UNIVERSITY OF LOUISIANA",2112.99849370789,5805.99586108284,0.0221864841839329
"01013","AUGUSTA UNIVERSITY",1818.5847840028,5281.3058690877,0.021459300451233
"01013","GEORGIA STATE UNIVERSITY",774.937916022822,2250.47751420295,0.0091442674090693
"01015","UNIVERSITY OF ALABAMA AT BIRMINGHAM",273515.507350443,658724.304975732,2.57104576909416
"01015","VANDERBILT UNIVERSITY MEDICAL CENTER",8154.39038711353,21900.1066040424,0.0848056600259808
"01015","EMORY UNIVERSITY",3253.08974151219,9447.21527181266,0.0383864589498439
"01015","SOUTHERN RESEARCH INSTITUTE",3699.29803039346,8909.24813578062,0.0347734014856985
"01015","MOREHOUSE SCHOOL OF MEDICINE",2759.6804541407,8014.31789568819,0.0325642293588602
"01017","AUBURN UNIVERSITY AT AUBURN",110179.592433697,265352.323718179,1.03568816887676
"01017","UNIVERSITY OF ALABAMA AT BIRMINGHAM",78739.3127220972,189632.754462711,0.740149539587714
"01017","TUSKEGEE UNIVERSITY",10092.1235932873,24305.4851409198,0.0948659617769003
"01017","UNIVERSITY OF SOUTH ALABAMA",1649.44138858988,3972.45166397442,0.0155047490527449
"01017","CFD RESEARCH CORPORATION",1175.82769535114,2831.81852793086,0.0110527803363007
"01019","UNIVERSITY OF ALABAMA AT BIRMINGHAM",22792.9589458703,54893.692081311,0.21425381409118
"01019","AUBURN UNIVERSITY AT AUBURN",2592.46099843994,6243.58408748656,0.0243691333853354
"01019","AUGUSTA UNIVERSITY",909.292392001399,2640.65293454385,0.0107296502256165
"01019","TUSKEGEE UNIVERSITY",630.757724580454,1519.09282130749,0.00592912261105627
"01019","UNIVERSITY OF ALABAMA IN TUSCALOOSA",319.208754817903,768.770177590632,0.00300056229528829
"01021","UNIVERSITY OF ALABAMA AT BIRMINGHAM",234145.850989394,563907.927744376,2.20097099930031
"01021","AUBURN UNIVERSITY AT AUBURN",7777.38299531981,18730.7522624597,0.0731074001560063
"01021","VANDERBILT UNIVERSITY MEDICAL CENTER",6115.79279033515,16425.0799530318,0.0636042450194856
