"ORIGIN","DESTINATION","IDC_econ_loss"
"01001","13089",120.721030971171
"01003","48201",18.518218976037
"01005","13089",227.170948061384
"01007","13089",9560.80074584335
"01009","13089",28803.1232685012
"01015","13089",9522.74780043267
"01027","13089",7.13555694047889
"01031","13089",28348.7813723785
"01037","13089",9447.21527181266
"01039","13089",227.170948061384
"01043","13089",28341.645815438
"01047","13089",9447.21527181266
"01051","13089",37902.4465612813
"01053","48201",45.9491458024287
"01055","13089",9629.19771752288
"01057","13089",9447.21527181266
"01061","13089",9560.80074584335
"01067","13089",9447.21527181266
"01069","13089",28909.5731855914
"01073","13089",264983.505063818
"01073","48201",35245.8845429417
"01077","13089",9447.21527181266
"01081","13089",9922.96383875686
"01083","13089",28341.645815438
"01087","13089",113.585474030692
"01089","13089",113593.754209813
"01089","48201",15105.3790898321
"01093","13089",9447.21527181266
"01095","13089",19008.0160176561
"01097","48201",15151.3282356346
"01101","13089",76100.4610423035
"01103","13089",19128.7370486272
"01107","48201",3641.70949839984
"01109","13089",9560.80074584335
"01113","13089",567.92737015346
"01115","13089",9787.97169390473
"01117","13089",28575.9523204398
"01121","13089",241.442061942342
"01123","13089",9447.21527181266
"01125","13089",37788.8610872506
"01127","13089",37902.4465612813
"01131","48201",45.9491458024287
"01133","13089",18894.4305436254
"02090","48201",91.8982916048576
"02170","48201",45.9491458024287
"04005","48201",1595.70984474054
"04013","13089",56796.8771049066
"04013","42003",112.484522030574
"04017","48201",1595.70984474054
"04019","13089",47236.0763590633
"05031","48201",5035.12636327737
"05043","48201",18.518218976037
"05045","13089",9447.21527181266
"05069","48201",18.518218976037
"05085","13089",19008.0160176561
"05113","48201",5035.12636327737
"05119","13089",47463.2473071247
"05125","13089",37788.8610872506
"05131","48201",5035.12636327737
"05133","48201",5035.12636327737
"05139","48201",18.518218976037
"05141","48201",174.151835790726
"05143","48201",56.729121325327
"06001","48201",18.518218976037
"06009","48201",18.518218976037
"06013","48201",174.151835790726
"06019","48201",45396.6116536396
"06029","48201",10125.8073834829
"06037","13089",179610.675638472
"06037","42003",3242.92042447952
"06037","48201",27138.1635516849
"06059","42003",0.188057564283594
"06059","48201",1681.18706997989
"06065","48201",174.151835790726
"06067","13089",113.585474030692
"06067","42003",148.093450046348
"06071","13089",28341.645815438
"06071","48201",47357.1340820595
"06073","13089",75577.7221745012
"06073","42003",0.188057564283594
"06073","48201",43715.4245836597
"06075","42003",1621.46021223976
"06077","13089",113.585474030692
"06085","42003",12.8270327276424
"06085","48201",18.518218976037
"06087","42003",44.3477214965761
"06111","48201",43715.4245836597
"08005","42003",56.2422610152872
"08041","13089",18894.4305436254
"08059","13089",113.585474030692
"08097","13089",9447.21527181266
"08101","48201",45.9491458024287
"08119","13089",9447.21527181266
"09110","13089",66244.0923767193
"09110","48201",45.9491458024287
"09130","13089",18894.4305436254
"09140","13089",18901.5661005658
"09140","42003",141.655155227317
"09160","42003",283.310310454633
"09170","13089",56683.291630876
"09170","42003",0.470143910708984
"09190","42003",141.655155227317
"10001","42003",204.335711061635
"10003","42003",558.906871340676
"10005","42003",204.429739843777
"11001","42003",241872.845215488
"12001","13089",18894.4305436254
"12005","13089",7.13555694047889
"12009","13089",113366.583261752
"12009","42003",168.726783045862
"12011","13089",151155.444349002
"12013","13089",9560.80074584335
"12019","13089",28341.645815438
"12021","13089",66130.5069026886
"12027","13089",9447.21527181266
"12029","13089",9447.21527181266
"12031","13089",198391.520708066
"12033","13089",28341.645815438
"12033","48201",18.518218976037
"12039","13089",28341.645815438
"12041","13089",9447.21527181266
"12043","13089",9447.21527181266
"12051","13089",9447.21527181266
"12055","13089",37788.8610872506
"12057","13089",292870.808983133
"12059","13089",7.13555694047889
"12069","13089",47236.0763590633
"12073","13089",85434.0908400856
"12075","13089",9447.21527181266
"12081","13089",85252.1083943753
"12085","13089",37788.8610872506
"12086","13089",160602.659620816
"12086","48201",20140.5054531095
"12089","13089",37788.8610872506
"12091","13089",7.13555694047889
"12095","13089",273969.242882567
"12095","42003",0.188057564283594
"12095","48201",68891.0564000465
"12097","13089",85024.9374463139
"12099","13089",226733.166523504
"12101","13089",113.585474030692
"12101","48201",10070.2527265548
"12103","13089",198391.520708066
"12109","13089",75577.7221745012
"12111","13089",18894.4305436254
"12113","13089",37788.8610872506
"12113","48201",91.8982916048576
"12115","13089",66471.2633247807
"12117","13089",103919.367989939
"12121","13089",9447.21527181266
"12123","13089",113.585474030692
"12125","13089",9447.21527181266
"12129","13089",113.585474030692
"12133","13089",7.13555694047889
"13001","13089",7.13555694047889
"13009","13089",47853.9526278002
"13011","13089",47697.5538121266
"13013","13089",715421.803988463
"13015","13089",647207.477171506
"13019","13089",28355.9169293189
"13021","13089",326116.890128309
"13023","13089",9447.21527181266
"13025","13089",14.2711138809578
"13027","13089",28341.645815438
"13029","13089",19144.8099610151
"13031","13089",28689.5377944705
"13033","13089",18901.5661005658
"13035","13089",19355.9079966886
"13037","13089",9681.52177681452
"13039","13089",67092.7431905313
"13043","13089",113.585474030692
"13045","13089",1062431.76403436
"13047","13089",28795.9877115607
"13051","13089",249187.454781596
"13053","13089",7.13555694047889
"13055","13089",28774.007678538
"13057","13089",2493199.04711452
"13059","13089",608186.395506709
"13061","13089",9447.21527181266
"13063","13089",6247793.59446512
"13063","42003",148.093450046348
"13065","13089",68.3969716795338
"13067","13089",15827252.7451395
"13069","13089",19015.1515745965
"13071","13089",28348.7813723785
"13073","13089",209368.899637875
"13075","13089",9560.80074584335
"13077","13089",1764574.05387422
"13079","13089",38659.4919340854
"13081","13089",18969.9630722454
"13083","13089",9560.80074584335
"13085","13089",369257.327227528
"13087","13089",9802.24280778569
"13089","13089",89600669.3888446
"13091","13089",28341.645815438
"13093","13089",340.756422092076
"13095","13089",38044.5742630739
"13097","13089",1736687.97839122
"13097","48201",5035.12636327737
"13099","13089",113.585474030692
"13101","13089",113.585474030692
"13103","13089",76585.1469646951
"13105","13089",28696.673351411
"13107","13089",113.585474030692
"13111","13089",37795.9966441911
"13113","13089",2276215.20582768
"13115","13089",171520.005572191
"13117","13089",2870689.81710941
"13119","13089",141836.085665102
"13121","13089",48330036.1470228
"13121","48201",18.518218976037
